,Attribute,Value
0,Beta (5Y Monthly),0.85
1,52-Week Change 3,32.80%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,188.44
4,52 Week Low 3,119.60
5,50-Day Moving Average 3,173.45
6,200-Day Moving Average 3,158.63
7,Avg Vol (3 month) 3,3.06M
8,Avg Vol (10 day) 3,2.15M
9,Shares Outstanding 5,707.02M
10,Float,618.39M
11,% Held by Insiders 1,11.47%
12,% Held by Institutions 1,82.13%
13,"Shares Short (Jun 29, 2020) 4",6.82M
14,"Short Ratio (Jun 29, 2020) 4",2.54
15,"Short % of Float (Jun 29, 2020) 4",1.09%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.96%
17,"Shares Short (prior month May 28, 2020) 4",6.56M
18,Forward Annual Dividend Rate 4,0.72
19,Forward Annual Dividend Yield 4,0.38%
20,Trailing Annual Dividend Rate 3,0.69
21,Trailing Annual Dividend Yield 3,0.37%
22,5 Year Average Dividend Yield 4,0.57
23,Payout Ratio 4,19.06%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jun 24, 2020"
26,Last Split Factor 2,1319:1000
27,Last Split Date 3,"Jul 04, 2016"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Apr 02, 2020"
30,Profit Margin,18.13%
31,Operating Margin (ttm),18.12%
32,Return on Assets (ttm),3.38%
33,Return on Equity (ttm),8.61%
34,Revenue (ttm),18.03B
35,Revenue Per Share (ttm),25.31
36,Quarterly Revenue Growth (yoy),2.90%
37,Gross Profit (ttm),9.98B
38,EBITDA,4.46B
39,Net Income Avi to Common (ttm),2.61B
40,Diluted EPS (ttm),4.41
41,Quarterly Earnings Growth (yoy),78.30%
42,Total Cash (mrq),4.37B
43,Total Cash Per Share (mrq),6.26
44,Total Debt (mrq),26.83B
45,Total Debt/Equity (mrq),86.37
46,Current Ratio (mrq),1.32
47,Book Value Per Share (mrq),42.26
48,Operating Cash Flow (ttm),4.07B
49,Levered Free Cash Flow (ttm),2.91B
