,Attribute,Value
0,Beta (5Y Monthly),
1,52-Week Change 3,-13.84%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,141.10
4,52 Week Low 3,76.91
5,50-Day Moving Average 3,98.78
6,200-Day Moving Average 3,107.63
7,Avg Vol (3 month) 3,24.51M
8,Avg Vol (10 day) 3,27.5M
9,Shares Outstanding 5,3.05B
10,Float,3.28B
11,% Held by Insiders 1,0.88%
12,% Held by Institutions 1,76.08%
13,"Shares Short (Jun 29, 2020) 4",20.04M
14,"Short Ratio (Jun 29, 2020) 4",0.82
15,"Short % of Float (Jun 29, 2020) 4",0.66%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.66%
17,"Shares Short (prior month May 28, 2020) 4",20.6M
18,Forward Annual Dividend Rate 4,3.6
19,Forward Annual Dividend Yield 4,3.67%
20,Trailing Annual Dividend Rate 3,3.50
21,Trailing Annual Dividend Yield 3,3.56%
22,5 Year Average Dividend Yield 4,2.50
23,Payout Ratio 4,39.55%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jul 01, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Jun 11, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Jun 29, 2020"
30,Profit Margin,25.86%
31,Operating Margin (ttm),31.76%
32,Return on Assets (ttm),0.85%
33,Return on Equity (ttm),9.53%
34,Revenue (ttm),97.28B
35,Revenue Per Share (ttm),29.99
36,Quarterly Revenue Growth (yoy),-18.70%
37,Gross Profit (ttm),110.04B
38,EBITDA,
39,Net Income Avi to Common (ttm),23.36B
40,Diluted EPS (ttm),8.90
41,Quarterly Earnings Growth (yoy),-51.40%
42,Total Cash (mrq),1.28T
43,Total Cash Per Share (mrq),378.64
44,Total Debt (mrq),678.97B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),75.89
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
