,Attribute,Value
0,Beta (5Y Monthly),0.94
1,52-Week Change 3,82.31%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,402.87
4,52 Week Low 3,191.25
5,50-Day Moving Average 3,358.35
6,200-Day Moving Average 3,305.02
7,Avg Vol (3 month) 3,742.65k
8,Avg Vol (10 day) 3,719.74k
9,Shares Outstanding 5,425.66M
10,Float,418.9M
11,% Held by Insiders 1,0.00%
12,% Held by Institutions 1,18.91%
13,"Shares Short (Jun 29, 2020) 4",1.36M
14,"Short Ratio (Jun 29, 2020) 4",1.9
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.32%
17,"Shares Short (prior month May 28, 2020) 4",1.08M
18,Forward Annual Dividend Rate 4,2.92
19,Forward Annual Dividend Yield 4,0.73%
20,Trailing Annual Dividend Rate 3,1.63
21,Trailing Annual Dividend Yield 3,0.41%
22,5 Year Average Dividend Yield 4,0.95
23,Payout Ratio 4,50.39%
24,Dividend Date 3,"May 05, 2020"
25,Ex-Dividend Date 4,"Apr 23, 2020"
26,Last Split Factor 2,77:100
27,Last Split Date 3,"Nov 28, 2012"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,21.84%
31,Operating Margin (ttm),0.00%
32,Return on Assets (ttm),8.26%
33,Return on Equity (ttm),21.46%
34,Revenue (ttm),
35,Revenue Per Share (ttm),
36,Quarterly Revenue Growth (yoy),9.50%
37,Gross Profit (ttm),5.28B
38,EBITDA,
39,Net Income Avi to Common (ttm),
40,Diluted EPS (ttm),6.96
41,Quarterly Earnings Growth (yoy),9.90%
42,Total Cash (mrq),
43,Total Cash Per Share (mrq),
44,Total Debt (mrq),
45,Total Debt/Equity (mrq),30.88
46,Current Ratio (mrq),2.71
47,Book Value Per Share (mrq),30.62
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
