,Attribute,Value
0,Beta (5Y Monthly),1.56
1,52-Week Change 3,42.19%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,268.00
4,52 Week Low 3,151.85
5,50-Day Moving Average 3,223.79
6,200-Day Moving Average 3,210.89
7,Avg Vol (3 month) 3,19.9M
8,Avg Vol (10 day) 3,26.94M
9,Shares Outstanding 5,2.68B
10,Float,2.02B
11,% Held by Insiders 1,25.37%
12,% Held by Institutions 1,48.80%
13,"Shares Short (Jun 29, 2020) 4",39.78M
14,"Short Ratio (Jun 29, 2020) 4",2.62
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",1.48%
17,"Shares Short (prior month May 28, 2020) 4",36.37M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Mar 30, 2020"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,29.32%
31,Operating Margin (ttm),0.00%
32,Return on Assets (ttm),5.19%
33,Return on Equity (ttm),18.98%
34,Revenue (ttm),
35,Revenue Per Share (ttm),
36,Quarterly Revenue Growth (yoy),22.30%
37,Gross Profit (ttm),230B
38,EBITDA,
39,Net Income Avi to Common (ttm),
40,Diluted EPS (ttm),3.50
41,Quarterly Earnings Growth (yoy),-87.60%
42,Total Cash (mrq),
43,Total Cash Per Share (mrq),
44,Total Debt (mrq),
45,Total Debt/Equity (mrq),16.92
46,Current Ratio (mrq),1.91
47,Book Value Per Share (mrq),24.8
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
