,Attribute,Value
0,Beta (5Y Monthly),1.34
1,52-Week Change 3,144.58%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,431.69
4,52 Week Low 3,147.39
5,50-Day Moving Average 3,372.16
6,200-Day Moving Average 3,295.00
7,Avg Vol (3 month) 3,12.61M
8,Avg Vol (10 day) 3,10.83M
9,Shares Outstanding 5,615M
10,Float,589.19M
11,% Held by Insiders 1,4.15%
12,% Held by Institutions 1,69.23%
13,"Shares Short (Jun 29, 2020) 4",7.34M
14,"Short Ratio (Jun 29, 2020) 4",0.66
15,"Short % of Float (Jun 29, 2020) 4",1.25%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",1.19%
17,"Shares Short (prior month May 28, 2020) 4",9.49M
18,Forward Annual Dividend Rate 4,0.64
19,Forward Annual Dividend Yield 4,0.16%
20,Trailing Annual Dividend Rate 3,0.64
21,Trailing Annual Dividend Yield 3,0.15%
22,5 Year Average Dividend Yield 4,0.55
23,Payout Ratio 4,11.96%
24,Dividend Date 3,"Jun 25, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Sep 10, 2007"
28,Fiscal Year Ends,"Jan 25, 2020"
29,Most Recent Quarter (mrq),"Apr 25, 2020"
30,Profit Margin,28.18%
31,Operating Margin (ttm),29.41%
32,Return on Assets (ttm),11.62%
33,Return on Equity (ttm),29.11%
34,Revenue (ttm),11.78B
35,Revenue Per Share (ttm),19.28
36,Quarterly Revenue Growth (yoy),38.70%
37,Gross Profit (ttm),6.77B
38,EBITDA,3.86B
39,Net Income Avi to Common (ttm),3.32B
40,Diluted EPS (ttm),5.35
41,Quarterly Earnings Growth (yoy),132.70%
42,Total Cash (mrq),16.35B
43,Total Cash Per Share (mrq),26.59
44,Total Debt (mrq),7.58B
45,Total Debt/Equity (mrq),57.85
46,Current Ratio (mrq),10.29
47,Book Value Per Share (mrq),21.30
48,Operating Cash Flow (ttm),4.95B
49,Levered Free Cash Flow (ttm),3.19B
