,Attribute,Value
0,Beta (5Y Monthly),1.15
1,52-Week Change 3,-46.36%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,54.75
4,52 Week Low 3,22.00
5,50-Day Moving Average 3,27.19
6,200-Day Moving Average 3,34.49
7,Avg Vol (3 month) 3,51M
8,Avg Vol (10 day) 3,55.27M
9,Shares Outstanding 5,4.12B
10,Float,4.11B
11,% Held by Insiders 1,0.13%
12,% Held by Institutions 1,77.48%
13,"Shares Short (Jun 29, 2020) 4",36.91M
14,"Short Ratio (Jun 29, 2020) 4",0.66
15,"Short % of Float (Jun 29, 2020) 4",0.90%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.90%
17,"Shares Short (prior month May 28, 2020) 4",46.27M
18,Forward Annual Dividend Rate 4,2.04
19,Forward Annual Dividend Yield 4,8.05%
20,Trailing Annual Dividend Rate 3,1.98
21,Trailing Annual Dividend Yield 3,8.16%
22,5 Year Average Dividend Yield 4,3.38
23,Payout Ratio 4,226.67%
24,Dividend Date 3,"May 31, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 13, 2006"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Jun 29, 2020"
30,Profit Margin,9.19%
31,Operating Margin (ttm),7.99%
32,Return on Assets (ttm),0.30%
33,Return on Equity (ttm),3.11%
34,Revenue (ttm),62.63B
35,Revenue Per Share (ttm),14.94
36,Quarterly Revenue Growth (yoy),-60.60%
37,Gross Profit (ttm),82.46B
38,EBITDA,
39,Net Income Avi to Common (ttm),3.93B
40,Diluted EPS (ttm),0.93
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),451.84B
43,Total Cash Per Share (mrq),109.68
44,Total Debt (mrq),302.77B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),38.77
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
