,Attribute,Value
0,Beta (5Y Monthly),0.28
1,52-Week Change 3,33.81%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,58.84
4,52 Week Low 3,36.15
5,50-Day Moving Average 3,53.41
6,200-Day Moving Average 3,49.67
7,Avg Vol (3 month) 3,5M
8,Avg Vol (10 day) 3,5.38M
9,Shares Outstanding 5,2.62B
10,Float,2.62B
11,% Held by Insiders 1,0.00%
12,% Held by Institutions 1,18.47%
13,"Shares Short (Jun 29, 2020) 4",1.92M
14,"Short Ratio (Jun 29, 2020) 4",0.34
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.07%
17,"Shares Short (prior month May 28, 2020) 4",3.17M
18,Forward Annual Dividend Rate 4,1.4
19,Forward Annual Dividend Yield 4,2.59%
20,Trailing Annual Dividend Rate 3,2.80
21,Trailing Annual Dividend Yield 3,5.19%
22,5 Year Average Dividend Yield 4,3.95
23,Payout Ratio 4,243.48%
24,Dividend Date 3,"Mar 29, 2020"
25,Ex-Dividend Date 4,"Feb 26, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 26, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.03%
31,Operating Margin (ttm),13.48%
32,Return on Assets (ttm),3.60%
33,Return on Equity (ttm),11.66%
34,Revenue (ttm),25.25B
35,Revenue Per Share (ttm),9.62
36,Quarterly Revenue Growth (yoy),15.70%
37,Gross Profit (ttm),19.54B
38,EBITDA,5.97B
39,Net Income Avi to Common (ttm),1.52B
40,Diluted EPS (ttm),0.58
41,Quarterly Earnings Growth (yoy),31.50%
42,Total Cash (mrq),4.16B
43,Total Cash Per Share (mrq),1.59
44,Total Debt (mrq),20.98B
45,Total Debt/Equity (mrq),171.72
46,Current Ratio (mrq),0.75
47,Book Value Per Share (mrq),4.11
48,Operating Cash Flow (ttm),3.5B
49,Levered Free Cash Flow (ttm),4.13B
