,Attribute,Value
0,Beta (5Y Monthly),1.20
1,52-Week Change 3,495.15%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,1794.99
4,52 Week Low 3,211.00
5,50-Day Moving Average 3,1053.89
6,200-Day Moving Average 3,756.74
7,Avg Vol (3 month) 3,14.74M
8,Avg Vol (10 day) 3,22.26M
9,Shares Outstanding 5,185.48M
10,Float,147.62M
11,% Held by Insiders 1,20.51%
12,% Held by Institutions 1,57.93%
13,"Shares Short (Jun 29, 2020) 4",13.96M
14,"Short Ratio (Jun 29, 2020) 4",1.2
15,"Short % of Float (Jun 29, 2020) 4",9.44%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",7.53%
17,"Shares Short (prior month May 28, 2020) 4",16.09M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-0.55%
31,Operating Margin (ttm),3.23%
32,Return on Assets (ttm),1.59%
33,Return on Equity (ttm),-0.47%
34,Revenue (ttm),26.02B
35,Revenue Per Share (ttm),144.97
36,Quarterly Revenue Growth (yoy),31.80%
37,Gross Profit (ttm),4.07B
38,EBITDA,3.03B
39,Net Income Avi to Common (ttm),-136M
40,Diluted EPS (ttm),-0.81
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),8.08B
43,Total Cash Per Share (mrq),43.59
44,Total Debt (mrq),15.2B
45,Total Debt/Equity (mrq),142.43
46,Current Ratio (mrq),1.24
47,Book Value Per Share (mrq),49.58
48,Operating Cash Flow (ttm),2.6B
49,Levered Free Cash Flow (ttm),1.55B
