,Attribute,Value
0,Beta (5Y Monthly),1.20
1,52-Week Change 3,18.80%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,250.15
4,52 Week Low 3,137.10
5,50-Day Moving Average 3,233.74
6,200-Day Moving Average 3,204.89
7,Avg Vol (3 month) 3,26.01M
8,Avg Vol (10 day) 3,25.3M
9,Shares Outstanding 5,2.41B
10,Float,2.39B
11,% Held by Insiders 1,0.66%
12,% Held by Institutions 1,79.41%
13,"Shares Short (Jun 29, 2020) 4",30.15M
14,"Short Ratio (Jun 29, 2020) 4",1.21
15,"Short % of Float (Jun 29, 2020) 4",1.26%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",1.06%
17,"Shares Short (prior month May 28, 2020) 4",30.06M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,28.57%
31,Operating Margin (ttm),36.21%
32,Return on Assets (ttm),13.40%
33,Return on Equity (ttm),21.85%
34,Revenue (ttm),73.36B
35,Revenue Per Share (ttm),25.71
36,Quarterly Revenue Growth (yoy),17.60%
37,Gross Profit (ttm),57.93B
38,EBITDA,32.54B
39,Net Income Avi to Common (ttm),20.96B
40,Diluted EPS (ttm),7.29
41,Quarterly Earnings Growth (yoy),101.80%
42,Total Cash (mrq),60.29B
43,Total Cash Per Share (mrq),21.16
44,Total Debt (mrq),10.81B
45,Total Debt/Equity (mrq),10.27
46,Current Ratio (mrq),4.60
47,Book Value Per Share (mrq),36.94
48,Operating Cash Flow (ttm),38.01B
49,Levered Free Cash Flow (ttm),16.83B
