,Attribute,Value
0,Beta (5Y Monthly),0.71
1,52-Week Change 3,31.18%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,68.34
4,52 Week Low 3,42.48
5,50-Day Moving Average 3,58.75
6,200-Day Moving Average 3,60.41
7,Avg Vol (3 month) 3,15.6M
8,Avg Vol (10 day) 3,10.85M
9,Shares Outstanding 5,2.26B
10,Float,2.26B
11,% Held by Insiders 1,0.11%
12,% Held by Institutions 1,79.09%
13,"Shares Short (Jun 29, 2020) 4",21.64M
14,"Short Ratio (Jun 29, 2020) 4",1.3
15,"Short % of Float (Jun 29, 2020) 4",0.96%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.96%
17,"Shares Short (prior month May 28, 2020) 4",37.32M
18,Forward Annual Dividend Rate 4,1.8
19,Forward Annual Dividend Yield 4,3.04%
20,Trailing Annual Dividend Rate 3,1.72
21,Trailing Annual Dividend Yield 3,2.97%
22,5 Year Average Dividend Yield 4,2.74
23,Payout Ratio 4,273.02%
24,Dividend Date 3,"Aug 02, 2020"
25,Ex-Dividend Date 4,"Jul 01, 2020"
26,Last Split Factor 2,1000000:951777
27,Last Split Date 3,"Aug 06, 2001"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,3.08%
31,Operating Margin (ttm),24.63%
32,Return on Assets (ttm),5.82%
33,Return on Equity (ttm),3.00%
34,Revenue (ttm),31.01B
35,Revenue Per Share (ttm),16.66
36,Quarterly Revenue Growth (yoy),82.10%
37,Gross Profit (ttm),18.93B
38,EBITDA,11.58B
39,Net Income Avi to Common (ttm),954M
40,Diluted EPS (ttm),0.51
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),18.32B
43,Total Cash Per Share (mrq),8.1
44,Total Debt (mrq),47.53B
45,Total Debt/Equity (mrq),95.10
46,Current Ratio (mrq),1.66
47,Book Value Per Share (mrq),22.06
48,Operating Cash Flow (ttm),10.57B
49,Levered Free Cash Flow (ttm),9.5B
