,Attribute,Value
0,Beta (5Y Monthly),0.71
1,52-Week Change 3,60.85%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,67.21
4,52 Week Low 3,39.78
5,50-Day Moving Average 3,56.76
6,200-Day Moving Average 3,54.33
7,Avg Vol (3 month) 3,9.14M
8,Avg Vol (10 day) 3,11.84M
9,Shares Outstanding 5,5.19B
10,Float,4.5B
11,% Held by Insiders 1,0.00%
12,% Held by Institutions 1,19.96%
13,"Shares Short (Jun 29, 2020) 4",13.25M
14,"Short Ratio (Jun 29, 2020) 4",1.73
15,"Short % of Float (Jun 29, 2020) 4",
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",0.26%
17,"Shares Short (prior month May 28, 2020) 4",14.82M
18,Forward Annual Dividend Rate 4,2.85
19,Forward Annual Dividend Yield 4,4.26%
20,Trailing Annual Dividend Rate 3,0.26
21,Trailing Annual Dividend Yield 3,0.39%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,94.22%
24,Dividend Date 3,"Oct 14, 2020"
25,Ex-Dividend Date 4,"Jun 17, 2020"
26,Last Split Factor 2,1005:1000
27,Last Split Date 3,"Jul 14, 2009"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,34.50%
31,Operating Margin (ttm),0.00%
32,Return on Assets (ttm),12.08%
33,Return on Equity (ttm),23.45%
34,Revenue (ttm),
35,Revenue Per Share (ttm),
36,Quarterly Revenue Growth (yoy),42.00%
37,Gross Profit (ttm),492.7B
38,EBITDA,
39,Net Income Avi to Common (ttm),
40,Diluted EPS (ttm),2.23
41,Quarterly Earnings Growth (yoy),90.60%
42,Total Cash (mrq),
43,Total Cash Per Share (mrq),
44,Total Debt (mrq),
45,Total Debt/Equity (mrq),13.33
46,Current Ratio (mrq),1.36
47,Book Value Per Share (mrq),9.98
48,Operating Cash Flow (ttm),
49,Levered Free Cash Flow (ttm),
