,Attribute,Value
0,Beta (5Y Monthly),0.30
1,52-Week Change 3,33.52%
2,S&P500 52-Week Change 3,7.14%
3,52 Week High 3,111.58
4,52 Week Low 3,63.50
5,50-Day Moving Average 3,103.91
6,200-Day Moving Average 3,91.15
7,Avg Vol (3 month) 3,7.81M
8,Avg Vol (10 day) 3,5.33M
9,Shares Outstanding 5,1.24B
10,Float,652.84M
11,% Held by Insiders 1,44.09%
12,% Held by Institutions 1,48.69%
13,"Shares Short (Jun 29, 2020) 4",23.28M
14,"Short Ratio (Jun 29, 2020) 4",1.9
15,"Short % of Float (Jun 29, 2020) 4",5.97%
16,"Short % of Shares Outstanding (Jun 29, 2020) 4",1.88%
17,"Shares Short (prior month May 28, 2020) 4",16.67M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"Sep 14, 2016"
25,Ex-Dividend Date 4,"Apr 30, 2013"
26,Last Split Factor 2,1:2
27,Last Split Date 3,"Apr 30, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.80%
31,Operating Margin (ttm),14.55%
32,Return on Assets (ttm),4.81%
33,Return on Equity (ttm),12.73%
34,Revenue (ttm),45.03B
35,Revenue Per Share (ttm),52.61
36,Quarterly Revenue Growth (yoy),0.30%
37,Gross Profit (ttm),26.48B
38,EBITDA,13.29B
39,Net Income Avi to Common (ttm),3.51B
40,Diluted EPS (ttm),4.06
41,Quarterly Earnings Growth (yoy),4.70%
42,Total Cash (mrq),1.11B
43,Total Cash Per Share (mrq),0.9
44,Total Debt (mrq),44.32B
45,Total Debt/Equity (mrq),152.95
46,Current Ratio (mrq),0.64
47,Book Value Per Share (mrq),33.65
48,Operating Cash Flow (ttm),7.05B
49,Levered Free Cash Flow (ttm),1.17B
