,Attribute,Value
0,Beta (5Y Monthly),1.67
1,52-Week Change 3,4.55%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,215.94
4,52 Week Low 3,93.00
5,50-Day Moving Average 3,183.51
6,200-Day Moving Average 3,172.62
7,Avg Vol (3 month) 3,1.41M
8,Avg Vol (10 day) 3,994.85k
9,Shares Outstanding 5,128.22M
10,Float,127.44M
11,% Held by Insiders 1,0.35%
12,% Held by Institutions 1,83.66%
13,"Shares Short (Jun 14, 2020) 4",1.79M
14,"Short Ratio (Jun 14, 2020) 4",1.21
15,"Short % of Float (Jun 14, 2020) 4",1.41%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.40%
17,"Shares Short (prior month May 14, 2020) 4",2.17M
18,Forward Annual Dividend Rate 4,3.52
19,Forward Annual Dividend Yield 4,2.00%
20,Trailing Annual Dividend Rate 3,3.52
21,Trailing Annual Dividend Yield 3,2.00%
22,5 Year Average Dividend Yield 4,1.88
23,Payout Ratio 4,34.51%
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Oct 01, 2007"
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.31%
31,Operating Margin (ttm),14.49%
32,Return on Assets (ttm),7.19%
33,Return on Equity (ttm),21.50%
34,Revenue (ttm),14.22B
35,Revenue Per Share (ttm),110.69
36,Quarterly Revenue Growth (yoy),0.40%
37,Gross Profit (ttm),3.63B
38,EBITDA,2.56B
39,Net Income Avi to Common (ttm),1.32B
40,Diluted EPS (ttm),10.21
41,Quarterly Earnings Growth (yoy),-10.70%
42,Total Cash (mrq),790.15M
43,Total Cash Per Share (mrq),6.16
44,Total Debt (mrq),9.27B
45,Total Debt/Equity (mrq),146.99
46,Current Ratio (mrq),1.49
47,Book Value Per Share (mrq),49.10
48,Operating Cash Flow (ttm),1.93B
49,Levered Free Cash Flow (ttm),1.3B
