,Attribute,Value
0,Beta (5Y Monthly),1.37
1,52-Week Change 3,-19.42%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,102.45
4,52 Week Low 3,54.21
5,50-Day Moving Average 3,71.82
6,200-Day Moving Average 3,76.00
7,Avg Vol (3 month) 3,1.05M
8,Avg Vol (10 day) 3,603.67k
9,Shares Outstanding 5,137.03M
10,Float,121.48M
11,% Held by Insiders 1,10.70%
12,% Held by Institutions 1,73.72%
13,"Shares Short (Jun 14, 2020) 4",5.13M
14,"Short Ratio (Jun 14, 2020) 4",4.25
15,"Short % of Float (Jun 14, 2020) 4",4.74%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.74%
17,"Shares Short (prior month May 14, 2020) 4",4.38M
18,Forward Annual Dividend Rate 4,1.48
19,Forward Annual Dividend Yield 4,2.26%
20,Trailing Annual Dividend Rate 3,1.42
21,Trailing Annual Dividend Yield 3,2.16%
22,5 Year Average Dividend Yield 4,1.37
23,Payout Ratio 4,21.04%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 29, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Mar 22, 2006"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,12.19%
31,Operating Margin (ttm),15.97%
32,Return on Assets (ttm),2.18%
33,Return on Equity (ttm),14.49%
34,Revenue (ttm),7.88B
35,Revenue Per Share (ttm),56.74
36,Quarterly Revenue Growth (yoy),3.10%
37,Gross Profit (ttm),7.23B
38,EBITDA,
39,Net Income Avi to Common (ttm),958M
40,Diluted EPS (ttm),6.75
41,Quarterly Earnings Growth (yoy),-35.20%
42,Total Cash (mrq),15.94B
43,Total Cash Per Share (mrq),116.33
44,Total Debt (mrq),3.96B
45,Total Debt/Equity (mrq),57.89
46,Current Ratio (mrq),4.53
47,Book Value Per Share (mrq),49.70
48,Operating Cash Flow (ttm),3.5B
49,Levered Free Cash Flow (ttm),
