,Attribute,Value
0,Beta (5Y Monthly),0.95
1,52-Week Change 3,-32.34%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,126.87
4,52 Week Low 3,41.33
5,50-Day Moving Average 3,74.50
6,200-Day Moving Average 3,79.87
7,Avg Vol (3 month) 3,1.18M
8,Avg Vol (10 day) 3,760.75k
9,Shares Outstanding 5,137.01M
10,Float,127.8M
11,% Held by Insiders 1,7.54%
12,% Held by Institutions 1,88.62%
13,"Shares Short (Jun 14, 2020) 4",5.17M
14,"Short Ratio (Jun 14, 2020) 4",4.76
15,"Short % of Float (Jun 14, 2020) 4",5.44%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.77%
17,"Shares Short (prior month May 14, 2020) 4",4.49M
18,Forward Annual Dividend Rate 4,2.72
19,Forward Annual Dividend Yield 4,3.80%
20,Trailing Annual Dividend Rate 3,2.72
21,Trailing Annual Dividend Yield 3,3.80%
22,5 Year Average Dividend Yield 4,2.54
23,Payout Ratio 4,81.68%
24,Dividend Date 3,"Aug 16, 2020"
25,Ex-Dividend Date 4,"Jul 30, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Mar 15, 1999"
28,Fiscal Year Ends,"Dec 28, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,8.33%
31,Operating Margin (ttm),12.58%
32,Return on Assets (ttm),5.21%
33,Return on Equity (ttm),19.16%
34,Revenue (ttm),5.09B
35,Revenue Per Share (ttm),39.00
36,Quarterly Revenue Growth (yoy),50.90%
37,Gross Profit (ttm),2.41B
38,EBITDA,843.12M
39,Net Income Avi to Common (ttm),424.09M
40,Diluted EPS (ttm),3.23
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.18B
43,Total Cash Per Share (mrq),8.59
44,Total Debt (mrq),5.43B
45,Total Debt/Equity (mrq),194.44
46,Current Ratio (mrq),1.91
47,Book Value Per Share (mrq),19.92
48,Operating Cash Flow (ttm),680.19M
49,Levered Free Cash Flow (ttm),596.68M
