,Attribute,Value
0,Beta (5Y Monthly),1.37
1,52-Week Change 3,-27.94%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,146.85
4,52 Week Low 3,70.00
5,50-Day Moving Average 3,91.25
6,200-Day Moving Average 3,104.25
7,Avg Vol (3 month) 3,1.71M
8,Avg Vol (10 day) 3,1.44M
9,Shares Outstanding 5,239.21M
10,Float,238.42M
11,% Held by Insiders 1,0.37%
12,% Held by Institutions 1,84.13%
13,"Shares Short (Jun 14, 2020) 4",3.22M
14,"Short Ratio (Jun 14, 2020) 4",2.08
15,"Short % of Float (Jun 14, 2020) 4",1.35%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.35%
17,"Shares Short (prior month May 14, 2020) 4",4.04M
18,Forward Annual Dividend Rate 4,2.12
19,Forward Annual Dividend Yield 4,2.35%
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,1.88
23,Payout Ratio 4,40.54%
24,Dividend Date 3,"Sep 29, 2020"
25,Ex-Dividend Date 4,"Sep 02, 2020"
26,Last Split Factor 2,1252:1000
27,Last Split Date 3,"Dec 01, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.19%
31,Operating Margin (ttm),12.91%
32,Return on Assets (ttm),7.09%
33,Return on Equity (ttm),20.35%
34,Revenue (ttm),16.44B
35,Revenue Per Share (ttm),68.24
36,Quarterly Revenue Growth (yoy),-5.80%
37,Gross Profit (ttm),5.22B
38,EBITDA,2.5B
39,Net Income Avi to Common (ttm),1.28B
40,Diluted EPS (ttm),
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.65B
43,Total Cash Per Share (mrq),11.07
44,Total Debt (mrq),6.03B
45,Total Debt/Equity (mrq),104.21
46,Current Ratio (mrq),1.55
47,Book Value Per Share (mrq),
48,Operating Cash Flow (ttm),1.64B
49,Levered Free Cash Flow (ttm),1.86B
