,Attribute,Value
0,Beta (5Y Monthly),0.69
1,52-Week Change 3,-12.07%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,34.49
4,52 Week Low 3,21.00
5,50-Day Moving Average 3,26.87
6,200-Day Moving Average 3,27.78
7,Avg Vol (3 month) 3,3.61M
8,Avg Vol (10 day) 3,2.81M
9,Shares Outstanding 5,287.88M
10,Float,284.71M
11,% Held by Insiders 1,0.96%
12,% Held by Institutions 1,87.56%
13,"Shares Short (Jun 14, 2020) 4",56.07M
14,"Short Ratio (Jun 14, 2020) 4",17.18
15,"Short % of Float (Jun 14, 2020) 4",26.90%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",19.48%
17,"Shares Short (prior month May 14, 2020) 4",54.64M
18,Forward Annual Dividend Rate 4,2.47
19,Forward Annual Dividend Yield 4,9.45%
20,Trailing Annual Dividend Rate 3,2.46
21,Trailing Annual Dividend Yield 3,9.39%
22,5 Year Average Dividend Yield 4,6.69
23,Payout Ratio 4,234.19%
24,Dividend Date 3,"Jul 01, 2020"
25,Ex-Dividend Date 4,"Jun 11, 2020"
26,Last Split Factor 2,1082:1000
27,Last Split Date 3,"Sep 25, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.05%
31,Operating Margin (ttm),19.12%
32,Return on Assets (ttm),3.75%
33,Return on Equity (ttm),20.04%
34,Revenue (ttm),4.28B
35,Revenue Per Share (ttm),14.89
36,Quarterly Revenue Growth (yoy),1.40%
37,Gross Profit (ttm),2.43B
38,EBITDA,1.45B
39,Net Income Avi to Common (ttm),301.66M
40,Diluted EPS (ttm),1.05
41,Quarterly Earnings Growth (yoy),116.40%
42,Total Cash (mrq),152.68M
43,Total Cash Per Share (mrq),0.53
44,Total Debt (mrq),10.85B
45,Total Debt/Equity (mrq),914.75
46,Current Ratio (mrq),0.76
47,Book Value Per Share (mrq),3.90
48,Operating Cash Flow (ttm),975M
49,Levered Free Cash Flow (ttm),321.43M
