,Attribute,Value
0,Beta (5Y Monthly),1.11
1,52-Week Change 3,-18.35%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,108.58
4,52 Week Low 3,49.68
5,50-Day Moving Average 3,86.88
6,200-Day Moving Average 3,84.72
7,Avg Vol (3 month) 3,883.12k
8,Avg Vol (10 day) 3,560.93k
9,Shares Outstanding 5,144.26M
10,Float,141.29M
11,% Held by Insiders 1,2.76%
12,% Held by Institutions 1,80.93%
13,"Shares Short (Jun 14, 2020) 4",3.12M
14,"Short Ratio (Jun 14, 2020) 4",3.6
15,"Short % of Float (Jun 14, 2020) 4",2.88%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.16%
17,"Shares Short (prior month May 14, 2020) 4",2.88M
18,Forward Annual Dividend Rate 4,3.16
19,Forward Annual Dividend Yield 4,3.74%
20,Trailing Annual Dividend Rate 3,3.08
21,Trailing Annual Dividend Yield 3,3.64%
22,5 Year Average Dividend Yield 4,2.92
23,Payout Ratio 4,75.24%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Apr 14, 1997"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,3.11%
31,Operating Margin (ttm),5.59%
32,Return on Assets (ttm),4.71%
33,Return on Equity (ttm),17.08%
34,Revenue (ttm),19.22B
35,Revenue Per Share (ttm),132.06
36,Quarterly Revenue Growth (yoy),-3.70%
37,Gross Profit (ttm),6.32B
38,EBITDA,1.35B
39,Net Income Avi to Common (ttm),597.37M
40,Diluted EPS (ttm),4.09
41,Quarterly Earnings Growth (yoy),-14.80%
42,Total Cash (mrq),354.47M
43,Total Cash Per Share (mrq),2.46
44,Total Debt (mrq),4.49B
45,Total Debt/Equity (mrq),131.06
46,Current Ratio (mrq),1.22
47,Book Value Per Share (mrq),23.59
48,Operating Cash Flow (ttm),904.34M
49,Levered Free Cash Flow (ttm),891.4M
