,Attribute,Value
0,Beta (5Y Monthly),1.25
1,52-Week Change 3,59.95%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,138.22
4,52 Week Low 3,67.90
5,50-Day Moving Average 3,127.38
6,200-Day Moving Average 3,110.28
7,Avg Vol (3 month) 3,2.07M
8,Avg Vol (10 day) 3,1.55M
9,Shares Outstanding 5,166.84M
10,Float,166.08M
11,% Held by Insiders 1,0.35%
12,% Held by Institutions 1,84.87%
13,"Shares Short (Jun 14, 2020) 4",3.07M
14,"Short Ratio (Jun 14, 2020) 4",1.43
15,"Short % of Float (Jun 14, 2020) 4",2.08%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.84%
17,"Shares Short (prior month May 14, 2020) 4",3.26M
18,Forward Annual Dividend Rate 4,1.76
19,Forward Annual Dividend Yield 4,1.33%
20,Trailing Annual Dividend Rate 3,1.70
21,Trailing Annual Dividend Yield 3,1.28%
22,5 Year Average Dividend Yield 4,1.40
23,Payout Ratio 4,36.80%
24,Dividend Date 3,"Jun 10, 2020"
25,Ex-Dividend Date 4,"May 19, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Apr 19, 2000"
28,Fiscal Year Ends,"Sep 26, 2019"
29,Most Recent Quarter (mrq),"Mar 26, 2020"
30,Profit Margin,24.35%
31,Operating Margin (ttm),26.86%
32,Return on Assets (ttm),11.22%
33,Return on Equity (ttm),19.28%
34,Revenue (ttm),3.26B
35,Revenue Per Share (ttm),19.05
36,Quarterly Revenue Growth (yoy),-5.50%
37,Gross Profit (ttm),1.6B
38,EBITDA,1.24B
39,Net Income Avi to Common (ttm),792.9M
40,Diluted EPS (ttm),4.61
41,Quarterly Earnings Growth (yoy),-15.40%
42,Total Cash (mrq),1.07B
43,Total Cash Per Share (mrq),6.44
44,Total Debt (mrq),172.6M
45,Total Debt/Equity (mrq),4.17
46,Current Ratio (mrq),6.13
47,Book Value Per Share (mrq),24.72
48,Operating Cash Flow (ttm),1.31B
49,Levered Free Cash Flow (ttm),730.12M
