,Attribute,Value
0,Beta (5Y Monthly),0.72
1,52-Week Change 3,-9.56%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,64.95
4,52 Week Low 3,32.72
5,50-Day Moving Average 3,53.10
6,200-Day Moving Average 3,53.93
7,Avg Vol (3 month) 3,9.76M
8,Avg Vol (10 day) 3,6.31M
9,Shares Outstanding 5,1.2B
10,Float,1.2B
11,% Held by Insiders 1,0.06%
12,% Held by Institutions 1,93.09%
13,"Shares Short (Jun 14, 2020) 4",17.81M
14,"Short Ratio (Jun 14, 2020) 4",1.54
15,"Short % of Float (Jun 14, 2020) 4",1.49%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.49%
17,"Shares Short (prior month May 14, 2020) 4",13.36M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,0.69
21,Trailing Annual Dividend Yield 3,1.38%
22,5 Year Average Dividend Yield 4,1.39
23,Payout Ratio 4,67.65%
24,Dividend Date 3,"Mar 04, 2020"
25,Ex-Dividend Date 4,"Feb 11, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 06, 2018"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,4.57%
31,Operating Margin (ttm),5.86%
32,Return on Assets (ttm),5.64%
33,Return on Equity (ttm),34.13%
34,Revenue (ttm),36.85B
35,Revenue Per Share (ttm),30.60
36,Quarterly Revenue Growth (yoy),-52.50%
37,Gross Profit (ttm),14.85B
38,EBITDA,3.03B
39,Net Income Avi to Common (ttm),1.68B
40,Diluted EPS (ttm),1.38
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),4.29B
43,Total Cash Per Share (mrq),3.58
44,Total Debt (mrq),16.51B
45,Total Debt/Equity (mrq),348.30
46,Current Ratio (mrq),2.20
47,Book Value Per Share (mrq),3.96
48,Operating Cash Flow (ttm),756.82M
49,Levered Free Cash Flow (ttm),-996.17M
