,Attribute,Value
0,Beta (5Y Monthly),0.87
1,52-Week Change 3,33.74%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,412.70
4,52 Week Low 3,208.25
5,50-Day Moving Average 3,387.77
6,200-Day Moving Average 3,357.94
7,Avg Vol (3 month) 3,970.59k
8,Avg Vol (10 day) 3,707.08k
9,Shares Outstanding 5,132.21M
10,Float,131.76M
11,% Held by Insiders 1,0.25%
12,% Held by Institutions 1,95.04%
13,"Shares Short (Jun 14, 2020) 4",1.4M
14,"Short Ratio (Jun 14, 2020) 4",1.46
15,"Short % of Float (Jun 14, 2020) 4",1.06%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.06%
17,"Shares Short (prior month May 14, 2020) 4",2.15M
18,Forward Annual Dividend Rate 4,2.5
19,Forward Annual Dividend Yield 4,0.65%
20,Trailing Annual Dividend Rate 3,2.28
21,Trailing Annual Dividend Yield 3,0.59%
22,5 Year Average Dividend Yield 4,0.64
23,Payout Ratio 4,11.67%
24,Dividend Date 3,"Jul 30, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Jul 31, 1991"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,3.86%
31,Operating Margin (ttm),5.12%
32,Return on Assets (ttm),6.88%
33,Return on Equity (ttm),22.54%
34,Revenue (ttm),67.72B
35,Revenue Per Share (ttm),508.21
36,Quarterly Revenue Growth (yoy),17.60%
37,Gross Profit (ttm),11.03B
38,EBITDA,3.71B
39,Net Income Avi to Common (ttm),2.61B
40,Diluted EPS (ttm),19.52
41,Quarterly Earnings Growth (yoy),-16.40%
42,Total Cash (mrq),17.16B
43,Total Cash Per Share (mrq),129.78
44,Total Debt (mrq),8.12B
45,Total Debt/Equity (mrq),65.75
46,Current Ratio (mrq),1.65
47,Book Value Per Share (mrq),93.45
48,Operating Cash Flow (ttm),4.86B
49,Levered Free Cash Flow (ttm),2.11B
