,Attribute,Value
0,Beta (5Y Monthly),0.76
1,52-Week Change 3,-17.24%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,36.83
4,52 Week Low 3,18.12
5,50-Day Moving Average 3,26.92
6,200-Day Moving Average 3,29.11
7,Avg Vol (3 month) 3,5.71M
8,Avg Vol (10 day) 3,4.66M
9,Shares Outstanding 5,768.76M
10,Float,767.91M
11,% Held by Insiders 1,0.07%
12,% Held by Institutions 1,71.20%
13,"Shares Short (Jun 14, 2020) 4",11.81M
14,"Short Ratio (Jun 14, 2020) 4",1.89
15,"Short % of Float (Jun 14, 2020) 4",1.54%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.54%
17,"Shares Short (prior month May 14, 2020) 4",10.67M
18,Forward Annual Dividend Rate 4,1.66
19,Forward Annual Dividend Yield 4,6.80%
20,Trailing Annual Dividend Rate 3,1.65
21,Trailing Annual Dividend Yield 3,6.77%
22,5 Year Average Dividend Yield 4,4.87
23,Payout Ratio 4,67.45%
24,Dividend Date 3,"Jun 30, 2020"
25,Ex-Dividend Date 4,"Jun 08, 2020"
26,Last Split Factor 2,10000:9314
27,Last Split Date 3,"Jun 01, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,23.68%
31,Operating Margin (ttm),41.13%
32,Return on Assets (ttm),4.38%
33,Return on Equity (ttm),14.43%
34,Revenue (ttm),7.74B
35,Revenue Per Share (ttm),10.46
36,Quarterly Revenue Growth (yoy),-1.20%
37,Gross Profit (ttm),4.36B
38,EBITDA,4.49B
39,Net Income Avi to Common (ttm),1.83B
40,Diluted EPS (ttm),2.45
41,Quarterly Earnings Growth (yoy),18.90%
42,Total Cash (mrq),915M
43,Total Cash Per Share (mrq),1.19
44,Total Debt (mrq),23.64B
45,Total Debt/Equity (mrq),178.52
46,Current Ratio (mrq),0.56
47,Book Value Per Share (mrq),17.24
48,Operating Cash Flow (ttm),2.64B
49,Levered Free Cash Flow (ttm),-573M
