,Attribute,Value
0,Beta (5Y Monthly),
1,52-Week Change 3,107.42%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,26.06
4,52 Week Low 3,11.50
5,50-Day Moving Average 3,22.18
6,200-Day Moving Average 3,18.39
7,Avg Vol (3 month) 3,10.88M
8,Avg Vol (10 day) 3,6.65M
9,Shares Outstanding 5,866.16M
10,Float,866.05M
11,% Held by Insiders 1,0.00%
12,% Held by Institutions 1,3.66%
13,"Shares Short (Jun 14, 2020) 4",12.63M
14,"Short Ratio (Jun 14, 2020) 4",1.38
15,"Short % of Float (Jun 14, 2020) 4",1.63%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.46%
17,"Shares Short (prior month May 14, 2020) 4",13M
18,Forward Annual Dividend Rate 4,0.32
19,Forward Annual Dividend Yield 4,1.34%
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"Jul 19, 2020"
25,Ex-Dividend Date 4,"Jun 24, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,9.97%
31,Operating Margin (ttm),13.70%
32,Return on Assets (ttm),
33,Return on Equity (ttm),
34,Revenue (ttm),18.17B
35,Revenue Per Share (ttm),20.98
36,Quarterly Revenue Growth (yoy),-10.10%
37,Gross Profit (ttm),5.46B
38,EBITDA,2.82B
39,Net Income Avi to Common (ttm),1.81B
40,Diluted EPS (ttm),
41,Quarterly Earnings Growth (yoy),-76.00%
42,Total Cash (mrq),768M
43,Total Cash Per Share (mrq),0.89
44,Total Debt (mrq),11.96B
45,Total Debt/Equity (mrq),395.08
46,Current Ratio (mrq),1.34
47,Book Value Per Share (mrq),
48,Operating Cash Flow (ttm),2.23B
49,Levered Free Cash Flow (ttm),
