,Attribute,Value
0,Beta (5Y Monthly),1.45
1,52-Week Change 3,-12.89%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,38.96
4,52 Week Low 3,17.01
5,50-Day Moving Average 3,29.62
6,200-Day Moving Average 3,30.10
7,Avg Vol (3 month) 3,3.86M
8,Avg Vol (10 day) 3,3.03M
9,Shares Outstanding 5,416.59M
10,Float,370.25M
11,% Held by Insiders 1,0.36%
12,% Held by Institutions 1,61.82%
13,"Shares Short (Jun 14, 2020) 4",14.21M
14,"Short Ratio (Jun 14, 2020) 4",3.71
15,"Short % of Float (Jun 14, 2020) 4",4.11%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.41%
17,"Shares Short (prior month May 14, 2020) 4",14.86M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,2.12
21,Trailing Annual Dividend Yield 3,7.61%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,"Mar 30, 2020"
25,Ex-Dividend Date 4,
26,Last Split Factor 2,1252:1000
27,Last Split Date 3,"Dec 01, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,2.86%
31,Operating Margin (ttm),11.45%
32,Return on Assets (ttm),1.89%
33,Return on Equity (ttm),1.43%
34,Revenue (ttm),2.63B
35,Revenue Per Share (ttm),11.83
36,Quarterly Revenue Growth (yoy),29.00%
37,Gross Profit (ttm),911.7M
38,EBITDA,506.2M
39,Net Income Avi to Common (ttm),75.2M
40,Diluted EPS (ttm),0.33
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),555.7M
43,Total Cash Per Share (mrq),1.33
44,Total Debt (mrq),3.64B
45,Total Debt/Equity (mrq),41.55
46,Current Ratio (mrq),2.11
47,Book Value Per Share (mrq),20.85
48,Operating Cash Flow (ttm),342.9M
49,Levered Free Cash Flow (ttm),-209.99M
