,Attribute,Value
0,Beta (5Y Monthly),1.01
1,52-Week Change 3,15.34%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,81.65
4,52 Week Low 3,44.81
5,50-Day Moving Average 3,72.62
6,200-Day Moving Average 3,70.48
7,Avg Vol (3 month) 3,2.13M
8,Avg Vol (10 day) 3,1.67M
9,Shares Outstanding 5,396.81M
10,Float,393.62M
11,% Held by Insiders 1,6.96%
12,% Held by Institutions 1,99.08%
13,"Shares Short (Jun 14, 2020) 4",9.07M
14,"Short Ratio (Jun 14, 2020) 4",4.98
15,"Short % of Float (Jun 14, 2020) 4",2.57%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.29%
17,"Shares Short (prior month May 14, 2020) 4",9.67M
18,Forward Annual Dividend Rate 4,0.68
19,Forward Annual Dividend Yield 4,0.90%
20,Trailing Annual Dividend Rate 3,0.34
21,Trailing Annual Dividend Yield 3,0.45%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,17.17%
24,Dividend Date 3,"May 14, 2020"
25,Ex-Dividend Date 4,"Apr 28, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Jul 12, 2016"
28,Fiscal Year Ends,"Nov 29, 2019"
29,Most Recent Quarter (mrq),"May 30, 2020"
30,Profit Margin,18.43%
31,Operating Margin (ttm),21.08%
32,Return on Assets (ttm),3.56%
33,Return on Equity (ttm),9.64%
34,Revenue (ttm),4.34B
35,Revenue Per Share (ttm),10.90
36,Quarterly Revenue Growth (yoy),-9.60%
37,Gross Profit (ttm),2.76B
38,EBITDA,1.5B
39,Net Income Avi to Common (ttm),799.9M
40,Diluted EPS (ttm),1.97
41,Quarterly Earnings Growth (yoy),-52.10%
42,Total Cash (mrq),207.8M
43,Total Cash Per Share (mrq),0.52
44,Total Debt (mrq),5.78B
45,Total Debt/Equity (mrq),71.13
46,Current Ratio (mrq),0.73
47,Book Value Per Share (mrq),20.43
48,Operating Cash Flow (ttm),1.04B
49,Levered Free Cash Flow (ttm),943.19M
