,Attribute,Value
0,Beta (5Y Monthly),0.92
1,52-Week Change 3,-6.88%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,212.00
4,52 Week Low 3,104.28
5,50-Day Moving Average 3,178.22
6,200-Day Moving Average 3,172.66
7,Avg Vol (3 month) 3,1.32M
8,Avg Vol (10 day) 3,1.06M
9,Shares Outstanding 5,168.02M
10,Float,160.57M
11,% Held by Insiders 1,9.88%
12,% Held by Institutions 1,85.41%
13,"Shares Short (Jun 14, 2020) 4",6.4M
14,"Short Ratio (Jun 14, 2020) 4",4.98
15,"Short % of Float (Jun 14, 2020) 4",3.99%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.32%
17,"Shares Short (prior month May 14, 2020) 4",6.16M
18,Forward Annual Dividend Rate 4,3
19,Forward Annual Dividend Yield 4,1.64%
20,Trailing Annual Dividend Rate 3,3.00
21,Trailing Annual Dividend Yield 3,1.64%
22,5 Year Average Dividend Yield 4,1.12
23,Payout Ratio 4,"1,034.48%"
24,Dividend Date 3,"Aug 24, 2020"
25,Ex-Dividend Date 4,"Aug 09, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 15, 2005"
28,Fiscal Year Ends,"Feb 28, 2020"
29,Most Recent Quarter (mrq),"May 30, 2020"
30,Profit Margin,0.68%
31,Operating Margin (ttm),32.81%
32,Return on Assets (ttm),6.11%
33,Return on Equity (ttm),0.72%
34,Revenue (ttm),8.21B
35,Revenue Per Share (ttm),42.76
36,Quarterly Revenue Growth (yoy),-6.40%
37,Gross Profit (ttm),4.29B
38,EBITDA,3.01B
39,Net Income Avi to Common (ttm),55.7M
40,Diluted EPS (ttm),0.29
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),302.8M
43,Total Cash Per Share (mrq),1.58
44,Total Debt (mrq),12.17B
45,Total Debt/Equity (mrq),107.00
46,Current Ratio (mrq),1.94
47,Book Value Per Share (mrq),57.86
48,Operating Cash Flow (ttm),2.64B
49,Levered Free Cash Flow (ttm),1.49B
