,Attribute,Value
0,Beta (5Y Monthly),1.07
1,52-Week Change 3,-28.87%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,279.71
4,52 Week Low 3,147.14
5,50-Day Moving Average 3,183.88
6,200-Day Moving Average 3,208.39
7,Avg Vol (3 month) 3,361.28k
8,Avg Vol (10 day) 3,256.65k
9,Shares Outstanding 5,40.47M
10,Float,39.38M
11,% Held by Insiders 1,2.44%
12,% Held by Institutions 1,90.32%
13,"Shares Short (Jun 14, 2020) 4",597.29k
14,"Short Ratio (Jun 14, 2020) 4",1.61
15,"Short % of Float (Jun 14, 2020) 4",1.72%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.48%
17,"Shares Short (prior month May 14, 2020) 4",709.42k
18,Forward Annual Dividend Rate 4,4.12
19,Forward Annual Dividend Yield 4,2.55%
20,Trailing Annual Dividend Rate 3,3.78
21,Trailing Annual Dividend Yield 3,2.34%
22,5 Year Average Dividend Yield 4,1.33
23,Payout Ratio 4,25.82%
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,1:2
27,Last Split Date 3,"Dec 04, 2003"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,6.64%
31,Operating Margin (ttm),9.18%
32,Return on Assets (ttm),7.13%
33,Return on Equity (ttm),37.62%
34,Revenue (ttm),9.08B
35,Revenue Per Share (ttm),220.30
36,Quarterly Revenue Growth (yoy),8.80%
37,Gross Profit (ttm),1.53B
38,EBITDA,1.07B
39,Net Income Avi to Common (ttm),603M
40,Diluted EPS (ttm),14.63
41,Quarterly Earnings Growth (yoy),45.80%
42,Total Cash (mrq),28M
43,Total Cash Per Share (mrq),0.69
44,Total Debt (mrq),1.94B
45,Total Debt/Equity (mrq),118.20
46,Current Ratio (mrq),1.03
47,Book Value Per Share (mrq),40.57
48,Operating Cash Flow (ttm),953M
49,Levered Free Cash Flow (ttm),14.5M
