,Attribute,Value
0,Beta (5Y Monthly),1.10
1,52-Week Change 3,-28.19%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,85.98
4,52 Week Low 3,26.00
5,50-Day Moving Average 3,55.70
6,200-Day Moving Average 3,61.14
7,Avg Vol (3 month) 3,4.92M
8,Avg Vol (10 day) 3,3.31M
9,Shares Outstanding 5,507.62M
10,Float,506.69M
11,% Held by Insiders 1,0.24%
12,% Held by Institutions 1,82.30%
13,"Shares Short (Jun 14, 2020) 4",13.4M
14,"Short Ratio (Jun 14, 2020) 4",2.67
15,"Short % of Float (Jun 14, 2020) 4",2.77%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.64%
17,"Shares Short (prior month May 14, 2020) 4",15.99M
18,Forward Annual Dividend Rate 4,1.8
19,Forward Annual Dividend Yield 4,3.53%
20,Trailing Annual Dividend Rate 3,1.68
21,Trailing Annual Dividend Yield 3,3.30%
22,5 Year Average Dividend Yield 4,2.41
23,Payout Ratio 4,63.40%
24,Dividend Date 3,"Jul 23, 2020"
25,Ex-Dividend Date 4,"Jun 30, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 17, 2000"
28,Fiscal Year Ends,"Jun 28, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,2.30%
31,Operating Margin (ttm),3.87%
32,Return on Assets (ttm),7.45%
33,Return on Equity (ttm),61.46%
34,Revenue (ttm),59.5B
35,Revenue Per Share (ttm),116.28
36,Quarterly Revenue Growth (yoy),-6.50%
37,Gross Profit (ttm),11.41B
38,EBITDA,3.02B
39,Net Income Avi to Common (ttm),1.37B
40,Diluted EPS (ttm),2.65
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),2.25B
43,Total Cash Per Share (mrq),4.44
44,Total Debt (mrq),11.5B
45,Total Debt/Equity (mrq),558.20
46,Current Ratio (mrq),1.49
47,Book Value Per Share (mrq),4.00
48,Operating Cash Flow (ttm),2.12B
49,Levered Free Cash Flow (ttm),1.3B
