,Attribute,Value
0,Beta (5Y Monthly),1.32
1,52-Week Change 3,2.96%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,65.73
4,52 Week Low 3,41.93
5,50-Day Moving Average 3,60.01
6,200-Day Moving Average 3,56.95
7,Avg Vol (3 month) 3,2.6M
8,Avg Vol (10 day) 3,2.53M
9,Shares Outstanding 5,266.62M
10,Float,264.6M
11,% Held by Insiders 1,0.85%
12,% Held by Institutions 1,95.29%
13,"Shares Short (Jun 14, 2020) 4",4.89M
14,"Short Ratio (Jun 14, 2020) 4",2.3
15,"Short % of Float (Jun 14, 2020) 4",2.53%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.83%
17,"Shares Short (prior month May 14, 2020) 4",5.85M
18,Forward Annual Dividend Rate 4,1.92
19,Forward Annual Dividend Yield 4,2.98%
20,Trailing Annual Dividend Rate 3,1.92
21,Trailing Annual Dividend Yield 3,2.98%
22,5 Year Average Dividend Yield 4,3.06
23,Payout Ratio 4,63.97%
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 26, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 21, 1999"
28,Fiscal Year Ends,"Jun 28, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,37.00%
31,Operating Margin (ttm),31.25%
32,Return on Assets (ttm),11.70%
33,Return on Equity (ttm),49.65%
34,Revenue (ttm),2.2B
35,Revenue Per Share (ttm),8.13
36,Quarterly Revenue Growth (yoy),3.60%
37,Gross Profit (ttm),1.5B
38,EBITDA,786.1M
39,Net Income Avi to Common (ttm),814.95M
40,Diluted EPS (ttm),2.98
41,Quarterly Earnings Growth (yoy),23.40%
42,Total Cash (mrq),1.69B
43,Total Cash Per Share (mrq),6.32
44,Total Debt (mrq),1.05B
45,Total Debt/Equity (mrq),64.94
46,Current Ratio (mrq),5.95
47,Book Value Per Share (mrq),6.05
48,Operating Cash Flow (ttm),825.99M
49,Levered Free Cash Flow (ttm),549.4M
