,Attribute,Value
0,Beta (5Y Monthly),1.01
1,52-Week Change 3,-32.96%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,22.58
4,52 Week Low 3,9.42
5,50-Day Moving Average 3,15.57
6,200-Day Moving Average 3,17.09
7,Avg Vol (3 month) 3,14.46M
8,Avg Vol (10 day) 3,13.72M
9,Shares Outstanding 5,2.26B
10,Float,1.93B
11,% Held by Insiders 1,13.77%
12,% Held by Institutions 1,64.36%
13,"Shares Short (Jun 14, 2020) 4",22.37M
14,"Short Ratio (Jun 14, 2020) 4",1.54
15,"Short % of Float (Jun 14, 2020) 4",1.15%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.99%
17,"Shares Short (prior month May 14, 2020) 4",22.45M
18,Forward Annual Dividend Rate 4,1.05
19,Forward Annual Dividend Yield 4,7.55%
20,Trailing Annual Dividend Rate 3,1.01
21,Trailing Annual Dividend Yield 3,7.28%
22,5 Year Average Dividend Yield 4,4.62
23,Payout Ratio 4,172.41%
24,Dividend Date 3,"May 14, 2020"
25,Ex-Dividend Date 4,"Apr 30, 2020"
26,Last Split Factor 2,10:1
27,Last Split Date 3,"Jan 19, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.31%
31,Operating Margin (ttm),29.90%
32,Return on Assets (ttm),3.22%
33,Return on Equity (ttm),3.98%
34,Revenue (ttm),12.89B
35,Revenue Per Share (ttm),5.69
36,Quarterly Revenue Growth (yoy),-9.40%
37,Gross Profit (ttm),7.36B
38,EBITDA,6.23B
39,Net Income Avi to Common (ttm),1.32B
40,Diluted EPS (ttm),0.58
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),486M
43,Total Cash Per Share (mrq),0.22
44,Total Debt (mrq),34.96B
45,Total Debt/Equity (mrq),102.05
46,Current Ratio (mrq),0.55
47,Book Value Per Share (mrq),14.64
48,Operating Cash Flow (ttm),5.01B
49,Levered Free Cash Flow (ttm),624.5M
