,Attribute,Value
0,Beta (5Y Monthly),1.19
1,52-Week Change 3,42.89%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,296.66
4,52 Week Low 3,164.19
5,50-Day Moving Average 3,275.34
6,200-Day Moving Average 3,250.25
7,Avg Vol (3 month) 3,873.32k
8,Avg Vol (10 day) 3,598.37k
9,Shares Outstanding 5,187.5M
10,Float,186.55M
11,% Held by Insiders 1,0.41%
12,% Held by Institutions 1,94.57%
13,"Shares Short (Jun 14, 2020) 4",1.91M
14,"Short Ratio (Jun 14, 2020) 4",1.92
15,"Short % of Float (Jun 14, 2020) 4",1.18%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.02%
17,"Shares Short (prior month May 14, 2020) 4",2.12M
18,Forward Annual Dividend Rate 4,2.24
19,Forward Annual Dividend Yield 4,0.76%
20,Trailing Annual Dividend Rate 3,2.06
21,Trailing Annual Dividend Yield 3,0.70%
22,5 Year Average Dividend Yield 4,1.14
23,Payout Ratio 4,25.56%
24,Dividend Date 3,"Jun 09, 2020"
25,Ex-Dividend Date 4,"May 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 18, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,30.88%
31,Operating Margin (ttm),44.22%
32,Return on Assets (ttm),13.21%
33,Return on Equity (ttm),272.92%
34,Revenue (ttm),4.98B
35,Revenue Per Share (ttm),26.39
36,Quarterly Revenue Growth (yoy),13.00%
37,Gross Profit (ttm),3.44B
38,EBITDA,2.4B
39,Net Income Avi to Common (ttm),1.54B
40,Diluted EPS (ttm),8.06
41,Quarterly Earnings Growth (yoy),30.80%
42,Total Cash (mrq),2.23B
43,Total Cash Per Share (mrq),11.9
44,Total Debt (mrq),7.34B
45,Total Debt/Equity (mrq),911.92
46,Current Ratio (mrq),1.70
47,Book Value Per Share (mrq),3.10
48,Operating Cash Flow (ttm),1.65B
49,Levered Free Cash Flow (ttm),1.54B
