,Attribute,Value
0,Beta (5Y Monthly),1.12
1,52-Week Change 3,26.75%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,93.04
4,52 Week Low 3,61.13
5,50-Day Moving Average 3,88.39
6,200-Day Moving Average 3,81.67
7,Avg Vol (3 month) 3,1.94M
8,Avg Vol (10 day) 3,1.25M
9,Shares Outstanding 5,308.78M
10,Float,307.63M
11,% Held by Insiders 1,0.37%
12,% Held by Institutions 1,89.39%
13,"Shares Short (Jun 14, 2020) 4",4.39M
14,"Short Ratio (Jun 14, 2020) 4",1.86
15,"Short % of Float (Jun 14, 2020) 4",1.43%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.42%
17,"Shares Short (prior month May 14, 2020) 4",6.2M
18,Forward Annual Dividend Rate 4,0.72
19,Forward Annual Dividend Yield 4,0.80%
20,Trailing Annual Dividend Rate 3,0.69
21,Trailing Annual Dividend Yield 3,0.77%
22,5 Year Average Dividend Yield 4,0.90
23,Payout Ratio 4,31.42%
24,Dividend Date 3,"Jul 21, 2020"
25,Ex-Dividend Date 4,"Jun 28, 2020"
26,Last Split Factor 2,1398:1000
27,Last Split Date 3,"Nov 02, 2014"
28,Fiscal Year Ends,"Oct 30, 2019"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,13.04%
31,Operating Margin (ttm),19.25%
32,Return on Assets (ttm),6.82%
33,Return on Equity (ttm),13.81%
34,Revenue (ttm),5.24B
35,Revenue Per Share (ttm),16.89
36,Quarterly Revenue Growth (yoy),0.00%
37,Gross Profit (ttm),2.81B
38,EBITDA,1.29B
39,Net Income Avi to Common (ttm),683M
40,Diluted EPS (ttm),2.18
41,Quarterly Earnings Growth (yoy),-44.50%
42,Total Cash (mrq),1.32B
43,Total Cash Per Share (mrq),4.29
44,Total Debt (mrq),2.68B
45,Total Debt/Equity (mrq),56.15
46,Current Ratio (mrq),1.63
47,Book Value Per Share (mrq),15.46
48,Operating Cash Flow (ttm),810M
49,Levered Free Cash Flow (ttm),684.63M
