,Attribute,Value
0,Beta (5Y Monthly),1.00
1,52-Week Change 3,3.92%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,60.69
4,52 Week Low 3,39.05
5,50-Day Moving Average 3,53.41
6,200-Day Moving Average 3,51.65
7,Avg Vol (3 month) 3,2.43M
8,Avg Vol (10 day) 3,1.94M
9,Shares Outstanding 5,291.99M
10,Float,291.4M
11,% Held by Insiders 1,0.16%
12,% Held by Institutions 1,91.51%
13,"Shares Short (Jun 14, 2020) 4",4.12M
14,"Short Ratio (Jun 14, 2020) 4",1.9
15,"Short % of Float (Jun 14, 2020) 4",1.61%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.41%
17,"Shares Short (prior month May 14, 2020) 4",4M
18,Forward Annual Dividend Rate 4,1.94
19,Forward Annual Dividend Yield 4,3.98%
20,Trailing Annual Dividend Rate 3,1.92
21,Trailing Annual Dividend Yield 3,3.94%
22,5 Year Average Dividend Yield 4,2.94
23,Payout Ratio 4,
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 29, 2020"
26,Last Split Factor 2,3:2
27,Last Split Date 3,"Apr 22, 2001"
28,Fiscal Year Ends,"Jun 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-2.71%
31,Operating Margin (ttm),1.19%
32,Return on Assets (ttm),2.78%
33,Return on Equity (ttm),-111.72%
34,Revenue (ttm),153.59B
35,Revenue Per Share (ttm),522.40
36,Quarterly Revenue Growth (yoy),11.20%
37,Gross Profit (ttm),6.83B
38,EBITDA,2.75B
39,Net Income Avi to Common (ttm),-4.16B
40,Diluted EPS (ttm),-14.14
41,Quarterly Earnings Growth (yoy),18.20%
42,Total Cash (mrq),2.33B
43,Total Cash Per Share (mrq),7.98
44,Total Debt (mrq),7.75B
45,Total Debt/Equity (mrq),642.79
46,Current Ratio (mrq),1.05
47,Book Value Per Share (mrq),4.12
48,Operating Cash Flow (ttm),2.23B
49,Levered Free Cash Flow (ttm),1.83B
