,Attribute,Value
0,Beta (5Y Monthly),1.12
1,52-Week Change 3,8.92%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,135.70
4,52 Week Low 3,93.09
5,50-Day Moving Average 3,125.55
6,200-Day Moving Average 3,119.11
7,Avg Vol (3 month) 3,5.21M
8,Avg Vol (10 day) 3,4.13M
9,Shares Outstanding 5,917.77M
10,Float,916.08M
11,% Held by Insiders 1,0.24%
12,% Held by Institutions 1,88.83%
13,"Shares Short (Jun 14, 2020) 4",19.5M
14,"Short Ratio (Jun 14, 2020) 4",3.68
15,"Short % of Float (Jun 14, 2020) 4",2.13%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.12%
17,"Shares Short (prior month May 14, 2020) 4",20.24M
18,Forward Annual Dividend Rate 4,3.6
19,Forward Annual Dividend Yield 4,2.76%
20,Trailing Annual Dividend Rate 3,3.34
21,Trailing Annual Dividend Yield 3,2.56%
22,5 Year Average Dividend Yield 4,2.46
23,Payout Ratio 4,63.98%
24,Dividend Date 3,"May 17, 2020"
25,Ex-Dividend Date 4,"Apr 30, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 22, 2000"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,35.23%
31,Operating Margin (ttm),39.31%
32,Return on Assets (ttm),19.98%
33,Return on Equity (ttm),61.21%
34,Revenue (ttm),14.12B
35,Revenue Per Share (ttm),15.12
36,Quarterly Revenue Growth (yoy),-7.40%
37,Gross Profit (ttm),9.16B
38,EBITDA,6.54B
39,Net Income Avi to Common (ttm),4.94B
40,Diluted EPS (ttm),5.22
41,Quarterly Earnings Growth (yoy),-3.50%
42,Total Cash (mrq),4.74B
43,Total Cash Per Share (mrq),5.17
44,Total Debt (mrq),6.55B
45,Total Debt/Equity (mrq),84.69
46,Current Ratio (mrq),3.49
47,Book Value Per Share (mrq),8.39
48,Operating Cash Flow (ttm),6.39B
49,Levered Free Cash Flow (ttm),4.15B
