,Attribute,Value
0,Beta (5Y Monthly),1.73
1,52-Week Change 3,-64.47%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,34.99
4,52 Week Low 3,8.25
5,50-Day Moving Average 3,14.04
6,200-Day Moving Average 3,17.48
7,Avg Vol (3 month) 3,98.4M
8,Avg Vol (10 day) 3,82.69M
9,Shares Outstanding 5,508.11M
10,Float,417.74M
11,% Held by Insiders 1,1.16%
12,% Held by Institutions 1,84.80%
13,"Shares Short (Jun 14, 2020) 4",129.26M
14,"Short Ratio (Jun 14, 2020) 4",1.08
15,"Short % of Float (Jun 14, 2020) 4",48.89%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",30.57%
17,"Shares Short (prior month May 14, 2020) 4",147.61M
18,Forward Annual Dividend Rate 4,0.4
19,Forward Annual Dividend Yield 4,3.34%
20,Trailing Annual Dividend Rate 3,0.40
21,Trailing Annual Dividend Yield 3,3.58%
22,5 Year Average Dividend Yield 4,1.21
23,Payout Ratio 4,
24,Dividend Date 3,"Feb 18, 2020"
25,Ex-Dividend Date 4,"Feb 03, 2020"
26,Last Split Factor 2,0:1
27,Last Split Date 3,"Dec 08, 2013"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-1.69%
31,Operating Margin (ttm),4.84%
32,Return on Assets (ttm),2.21%
33,Return on Equity (ttm),
34,Revenue (ttm),43.7B
35,Revenue Per Share (ttm),100.04
36,Quarterly Revenue Growth (yoy),-19.50%
37,Gross Profit (ttm),12.56B
38,EBITDA,4.51B
39,Net Income Avi to Common (ttm),-740M
40,Diluted EPS (ttm),-1.70
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),3.58B
43,Total Cash Per Share (mrq),8.46
44,Total Debt (mrq),34.07B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),0.37
47,Book Value Per Share (mrq),-6.23
48,Operating Cash Flow (ttm),2B
49,Levered Free Cash Flow (ttm),-870.37M
