,Attribute,Value
0,Beta (5Y Monthly),1.19
1,52-Week Change 3,47.56%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,183.99
4,52 Week Low 3,82.07
5,50-Day Moving Average 3,164.26
6,200-Day Moving Average 3,126.75
7,Avg Vol (3 month) 3,8.68M
8,Avg Vol (10 day) 3,6.83M
9,Shares Outstanding 5,1.17B
10,Float,1.17B
11,% Held by Insiders 1,0.13%
12,% Held by Institutions 1,86.62%
13,"Shares Short (Jun 14, 2020) 4",15.17M
14,"Short Ratio (Jun 14, 2020) 4",2.01
15,"Short % of Float (Jun 14, 2020) 4",1.29%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.29%
17,"Shares Short (prior month May 14, 2020) 4",12.51M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,0.00%
24,Dividend Date 3,
25,Ex-Dividend Date 4,
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.27%
31,Operating Margin (ttm),14.35%
32,Return on Assets (ttm),3.26%
33,Return on Equity (ttm),12.04%
34,Revenue (ttm),18.26B
35,Revenue Per Share (ttm),15.55
36,Quarterly Revenue Growth (yoy),11.90%
37,Gross Profit (ttm),7.99B
38,EBITDA,3.3B
39,Net Income Avi to Common (ttm),1.88B
40,Diluted EPS (ttm),1.58
41,Quarterly Earnings Growth (yoy),-87.40%
42,Total Cash (mrq),10.19B
43,Total Cash Per Share (mrq),8.68
44,Total Debt (mrq),8.7B
45,Total Debt/Equity (mrq),54.32
46,Current Ratio (mrq),1.39
47,Book Value Per Share (mrq),13.61
48,Operating Cash Flow (ttm),5.04B
49,Levered Free Cash Flow (ttm),2.66B
