,Attribute,Value
0,Beta (5Y Monthly),1.23
1,52-Week Change 3,-13.96%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,80.62
4,52 Week Low 3,46.81
5,50-Day Moving Average 3,70.32
6,200-Day Moving Average 3,68.34
7,Avg Vol (3 month) 3,4.33M
8,Avg Vol (10 day) 3,3.19M
9,Shares Outstanding 5,765.47M
10,Float,764.49M
11,% Held by Insiders 1,0.12%
12,% Held by Institutions 1,76.04%
13,"Shares Short (Jun 14, 2020) 4",6.69M
14,"Short Ratio (Jun 14, 2020) 4",1.54
15,"Short % of Float (Jun 14, 2020) 4",0.88%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.87%
17,"Shares Short (prior month May 14, 2020) 4",7.95M
18,Forward Annual Dividend Rate 4,1.04
19,Forward Annual Dividend Yield 4,1.53%
20,Trailing Annual Dividend Rate 3,0.98
21,Trailing Annual Dividend Yield 3,1.44%
22,5 Year Average Dividend Yield 4,1.71
23,Payout Ratio 4,23.61%
24,Dividend Date 3,"Jun 14, 2020"
25,Ex-Dividend Date 4,"Aug 27, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Jun 15, 2011"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,27.74%
31,Operating Margin (ttm),41.57%
32,Return on Assets (ttm),7.95%
33,Return on Equity (ttm),26.85%
34,Revenue (ttm),11.78B
35,Revenue Per Share (ttm),15.00
36,Quarterly Revenue Growth (yoy),-5.20%
37,Gross Profit (ttm),6.29B
38,EBITDA,6.26B
39,Net Income Avi to Common (ttm),3.27B
40,Diluted EPS (ttm),4.15
41,Quarterly Earnings Growth (yoy),-7.70%
42,Total Cash (mrq),2.48B
43,Total Cash Per Share (mrq),3.24
44,Total Debt (mrq),17.22B
45,Total Debt/Equity (mrq),144.86
46,Current Ratio (mrq),1.73
47,Book Value Per Share (mrq),15.51
48,Operating Cash Flow (ttm),4.86B
49,Levered Free Cash Flow (ttm),2.59B
