,Attribute,Value
0,Beta (5Y Monthly),0.31
1,52-Week Change 3,-20.11%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,225.36
4,52 Week Low 3,131.80
5,50-Day Moving Average 3,175.25
6,200-Day Moving Average 3,188.24
7,Avg Vol (3 month) 3,2M
8,Avg Vol (10 day) 3,1.69M
9,Shares Outstanding 5,358.58M
10,Float,349.62M
11,% Held by Insiders 1,1.56%
12,% Held by Institutions 1,87.98%
13,"Shares Short (Jun 14, 2020) 4",5.73M
14,"Short Ratio (Jun 14, 2020) 4",2.75
15,"Short % of Float (Jun 14, 2020) 4",1.80%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.60%
17,"Shares Short (prior month May 14, 2020) 4",5.87M
18,Forward Annual Dividend Rate 4,3.4
19,Forward Annual Dividend Yield 4,2.05%
20,Trailing Annual Dividend Rate 3,3.10
21,Trailing Annual Dividend Yield 3,1.87%
22,5 Year Average Dividend Yield 4,1.83
23,Payout Ratio 4,46.55%
24,Dividend Date 3,"Jun 24, 2020"
25,Ex-Dividend Date 4,"Jun 08, 2020"
26,Last Split Factor 2,5:1
27,Last Split Date 3,"Jul 22, 2012"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,45.88%
31,Operating Margin (ttm),57.40%
32,Return on Assets (ttm),1.78%
33,Return on Equity (ttm),9.04%
34,Revenue (ttm),5.2B
35,Revenue Per Share (ttm),14.55
36,Quarterly Revenue Growth (yoy),29.10%
37,Gross Profit (ttm),4.86B
38,EBITDA,3.46B
39,Net Income Avi to Common (ttm),2.39B
40,Diluted EPS (ttm),6.66
41,Quarterly Earnings Growth (yoy),54.20%
42,Total Cash (mrq),929.2M
43,Total Cash Per Share (mrq),2.59
44,Total Debt (mrq),4.17B
45,Total Debt/Equity (mrq),15.69
46,Current Ratio (mrq),1.01
47,Book Value Per Share (mrq),74.28
48,Operating Cash Flow (ttm),2.76B
49,Levered Free Cash Flow (ttm),1.9B
