,Attribute,Value
0,Beta (5Y Monthly),1.00
1,52-Week Change 3,37.87%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,127.76
4,52 Week Low 3,75.29
5,50-Day Moving Average 3,119.04
6,200-Day Moving Average 3,107.07
7,Avg Vol (3 month) 3,828.59k
8,Avg Vol (10 day) 3,813.7k
9,Shares Outstanding 5,105.46M
10,Float,83.4M
11,% Held by Insiders 1,20.67%
12,% Held by Institutions 1,77.55%
13,"Shares Short (Jun 14, 2020) 4",3.75M
14,"Short Ratio (Jun 14, 2020) 4",4.47
15,"Short % of Float (Jun 14, 2020) 4",5.64%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.56%
17,"Shares Short (prior month May 14, 2020) 4",3.33M
18,Forward Annual Dividend Rate 4,1.08
19,Forward Annual Dividend Yield 4,0.86%
20,Trailing Annual Dividend Rate 3,1.05
21,Trailing Annual Dividend Yield 3,0.84%
22,5 Year Average Dividend Yield 4,0.96
23,Payout Ratio 4,22.53%
24,Dividend Date 3,"May 21, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 23, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,5.36%
31,Operating Margin (ttm),8.08%
32,Return on Assets (ttm),8.83%
33,Return on Equity (ttm),22.36%
34,Revenue (ttm),9.36B
35,Revenue Per Share (ttm),87.74
36,Quarterly Revenue Growth (yoy),9.10%
37,Gross Profit (ttm),1.64B
38,EBITDA,1.27B
39,Net Income Avi to Common (ttm),501.55M
40,Diluted EPS (ttm),4.66
41,Quarterly Earnings Growth (yoy),-12.30%
42,Total Cash (mrq),48.45M
43,Total Cash Per Share (mrq),0.46
44,Total Debt (mrq),1.43B
45,Total Debt/Equity (mrq),62.77
46,Current Ratio (mrq),1.54
47,Book Value Per Share (mrq),21.64
48,Operating Cash Flow (ttm),1.1B
49,Levered Free Cash Flow (ttm),183.51M
