,Attribute,Value
0,Beta (5Y Monthly),1.82
1,52-Week Change 3,-31.07%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,41.29
4,52 Week Low 3,14.12
5,50-Day Moving Average 3,25.48
6,200-Day Moving Average 3,27.80
7,Avg Vol (3 month) 3,6.35M
8,Avg Vol (10 day) 3,4.55M
9,Shares Outstanding 5,426.62M
10,Float,424.36M
11,% Held by Insiders 1,0.45%
12,% Held by Institutions 1,100.00%
13,"Shares Short (Jun 14, 2020) 4",8.15M
14,"Short Ratio (Jun 14, 2020) 4",1.3
15,"Short % of Float (Jun 14, 2020) 4",2.19%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.91%
17,"Shares Short (prior month May 14, 2020) 4",9.25M
18,Forward Annual Dividend Rate 4,1.56
19,Forward Annual Dividend Yield 4,6.86%
20,Trailing Annual Dividend Rate 3,1.43
21,Trailing Annual Dividend Yield 3,6.29%
22,5 Year Average Dividend Yield 4,2.52
23,Payout Ratio 4,48.97%
24,Dividend Date 3,"May 12, 2020"
25,Ex-Dividend Date 4,"Apr 27, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,24.52%
31,Operating Margin (ttm),30.61%
32,Return on Assets (ttm),0.82%
33,Return on Equity (ttm),6.37%
34,Revenue (ttm),5.65B
35,Revenue Per Share (ttm),12.80
36,Quarterly Revenue Growth (yoy),-29.70%
37,Gross Profit (ttm),6.1B
38,EBITDA,
39,Net Income Avi to Common (ttm),1.31B
40,Diluted EPS (ttm),2.95
41,Quarterly Earnings Growth (yoy),-92.30%
42,Total Cash (mrq),6.31B
43,Total Cash Per Share (mrq),14.78
44,Total Debt (mrq),17.73B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),47.78
48,Operating Cash Flow (ttm),-102M
49,Levered Free Cash Flow (ttm),
