,Attribute,Value
0,Beta (5Y Monthly),1.01
1,52-Week Change 3,29.29%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,134.42
4,52 Week Low 3,78.60
5,50-Day Moving Average 3,121.71
6,200-Day Moving Average 3,128.21
7,Avg Vol (3 month) 3,2.3M
8,Avg Vol (10 day) 3,1.08M
9,Shares Outstanding 5,121.35M
10,Float,108.54M
11,% Held by Insiders 1,0.95%
12,% Held by Institutions 1,100.01%
13,"Shares Short (Jun 14, 2020) 4",9.38M
14,"Short Ratio (Jun 14, 2020) 4",2.67
15,"Short % of Float (Jun 14, 2020) 4",8.74%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",7.73%
17,"Shares Short (prior month May 14, 2020) 4",10.44M
18,Forward Annual Dividend Rate 4,2.32
19,Forward Annual Dividend Yield 4,1.92%
20,Trailing Annual Dividend Rate 3,2.32
21,Trailing Annual Dividend Yield 3,1.92%
22,5 Year Average Dividend Yield 4,2.06
23,Payout Ratio 4,80.28%
24,Dividend Date 3,"Jul 09, 2020"
25,Ex-Dividend Date 4,"Jun 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 20, 2000"
28,Fiscal Year Ends,"Jan 30, 2020"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,8.83%
31,Operating Margin (ttm),12.40%
32,Return on Assets (ttm),4.73%
33,Return on Equity (ttm),11.06%
34,Revenue (ttm),3.98B
35,Revenue Per Share (ttm),32.85
36,Quarterly Revenue Growth (yoy),-44.60%
37,Gross Profit (ttm),2.76B
38,EBITDA,756.6M
39,Net Income Avi to Common (ttm),351.3M
40,Diluted EPS (ttm),2.89
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.06B
43,Total Cash Per Share (mrq),8.72
44,Total Debt (mrq),2.71B
45,Total Debt/Equity (mrq),85.15
46,Current Ratio (mrq),3.21
47,Book Value Per Share (mrq),26.11
48,Operating Cash Flow (ttm),422.2M
49,Levered Free Cash Flow (ttm),57.69M
