,Attribute,Value
0,Beta (5Y Monthly),1.22
1,52-Week Change 3,23.20%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,603.36
4,52 Week Low 3,325.43
5,50-Day Moving Average 3,578.83
6,200-Day Moving Average 3,544.50
7,Avg Vol (3 month) 3,531.18k
8,Avg Vol (10 day) 3,423.07k
9,Shares Outstanding 5,90.8M
10,Float,81.45M
11,% Held by Insiders 1,9.70%
12,% Held by Institutions 1,81.61%
13,"Shares Short (Jun 14, 2020) 4",729.85k
14,"Short Ratio (Jun 14, 2020) 4",1.23
15,"Short % of Float (Jun 14, 2020) 4",0.89%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.80%
17,"Shares Short (prior month May 14, 2020) 4",1.17M
18,Forward Annual Dividend Rate 4,5.36
19,Forward Annual Dividend Yield 4,0.92%
20,Trailing Annual Dividend Rate 3,4.73
21,Trailing Annual Dividend Yield 3,0.82%
22,5 Year Average Dividend Yield 4,0.94
23,Payout Ratio 4,26.83%
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 20, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 30, 1997"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,8.98%
31,Operating Margin (ttm),13.93%
32,Return on Assets (ttm),7.55%
33,Return on Equity (ttm),47.94%
34,Revenue (ttm),18.01B
35,Revenue Per Share (ttm),196.61
36,Quarterly Revenue Growth (yoy),2.60%
37,Gross Profit (ttm),8.04B
38,EBITDA,3.08B
39,Net Income Avi to Common (ttm),1.62B
40,Diluted EPS (ttm),17.34
41,Quarterly Earnings Growth (yoy),31.20%
42,Total Cash (mrq),238.5M
43,Total Cash Per Share (mrq),2.62
44,Total Debt (mrq),11.51B
45,Total Debt/Equity (mrq),350.10
46,Current Ratio (mrq),0.94
47,Book Value Per Share (mrq),36.11
48,Operating Cash Flow (ttm),2.41B
49,Levered Free Cash Flow (ttm),1.65B
