,Attribute,Value
0,Beta (5Y Monthly),0.78
1,52-Week Change 3,-10.45%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,90.17
4,52 Week Low 3,56.01
5,50-Day Moving Average 3,72.63
6,200-Day Moving Average 3,77.49
7,Avg Vol (3 month) 3,5.33M
8,Avg Vol (10 day) 3,5.41M
9,Shares Outstanding 5,1.56B
10,Float,1.55B
11,% Held by Insiders 1,0.22%
12,% Held by Institutions 1,75.22%
13,"Shares Short (Jun 14, 2020) 4",7.98M
14,"Short Ratio (Jun 14, 2020) 4",1.54
15,"Short % of Float (Jun 14, 2020) 4",0.51%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.51%
17,"Shares Short (prior month May 14, 2020) 4",9.03M
18,Forward Annual Dividend Rate 4,4.68
19,Forward Annual Dividend Yield 4,6.67%
20,Trailing Annual Dividend Rate 3,4.65
21,Trailing Annual Dividend Yield 3,6.63%
22,5 Year Average Dividend Yield 4,4.84
23,Payout Ratio 4,94.70%
24,Dividend Date 3,"Jul 09, 2020"
25,Ex-Dividend Date 4,"Jun 18, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,25.35%
31,Operating Margin (ttm),38.34%
32,Return on Assets (ttm),19.17%
33,Return on Equity (ttm),
34,Revenue (ttm),30.21B
35,Revenue Per Share (ttm),19.42
36,Quarterly Revenue Growth (yoy),6.00%
37,Gross Profit (ttm),19.29B
38,EBITDA,12.55B
39,Net Income Avi to Common (ttm),7.64B
40,Diluted EPS (ttm),4.91
41,Quarterly Earnings Growth (yoy),34.90%
42,Total Cash (mrq),3.75B
43,Total Cash Per Share (mrq),2.41
44,Total Debt (mrq),28.37B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.02
47,Book Value Per Share (mrq),-8.31
48,Operating Cash Flow (ttm),9.96B
49,Levered Free Cash Flow (ttm),8.79B
