,Attribute,Value
0,Beta (5Y Monthly),1.21
1,52-Week Change 3,-34.13%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,21.86
4,52 Week Low 3,7.45
5,50-Day Moving Average 3,13.03
6,200-Day Moving Average 3,14.23
7,Avg Vol (3 month) 3,8M
8,Avg Vol (10 day) 3,3.85M
9,Shares Outstanding 5,432.52M
10,Float,411.47M
11,% Held by Insiders 1,2.75%
12,% Held by Institutions 1,93.66%
13,"Shares Short (Jun 14, 2020) 4",17.35M
14,"Short Ratio (Jun 14, 2020) 4",1.69
15,"Short % of Float (Jun 14, 2020) 4",5.09%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",4.01%
17,"Shares Short (prior month May 14, 2020) 4",15.84M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,1.12
21,Trailing Annual Dividend Yield 3,9.46%
22,5 Year Average Dividend Yield 4,5.62
23,Payout Ratio 4,149.33%
24,Dividend Date 3,"Apr 14, 2020"
25,Ex-Dividend Date 4,"Mar 31, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Aug 23, 2005"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,33.33%
31,Operating Margin (ttm),38.96%
32,Return on Assets (ttm),2.51%
33,Return on Equity (ttm),7.51%
34,Revenue (ttm),1.15B
35,Revenue Per Share (ttm),2.73
36,Quarterly Revenue Growth (yoy),-1.80%
37,Gross Profit (ttm),821.93M
38,EBITDA,703.48M
39,Net Income Avi to Common (ttm),319.44M
40,Diluted EPS (ttm),0.75
41,Quarterly Earnings Growth (yoy),-22.40%
42,Total Cash (mrq),451.8M
43,Total Cash Per Share (mrq),1.04
44,Total Debt (mrq),5.8B
45,Total Debt/Equity (mrq),118.60
46,Current Ratio (mrq),5.32
47,Book Value Per Share (mrq),11.12
48,Operating Cash Flow (ttm),583.62M
49,Levered Free Cash Flow (ttm),408.11M
