,Attribute,Value
0,Beta (5Y Monthly),1.28
1,52-Week Change 3,15.03%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,576.81
4,52 Week Low 3,323.98
5,50-Day Moving Average 3,545.79
6,200-Day Moving Average 3,501.71
7,Avg Vol (3 month) 3,1.35M
8,Avg Vol (10 day) 3,565.05k
9,Shares Outstanding 5,151.62M
10,Float,153.01M
11,% Held by Insiders 1,3.32%
12,% Held by Institutions 1,84.87%
13,"Shares Short (Jun 14, 2020) 4",2.31M
14,"Short Ratio (Jun 14, 2020) 4",1.49
15,"Short % of Float (Jun 14, 2020) 4",2.00%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.53%
17,"Shares Short (prior month May 14, 2020) 4",1.96M
18,Forward Annual Dividend Rate 4,14.52
19,Forward Annual Dividend Yield 4,2.64%
20,Trailing Annual Dividend Rate 3,13.53
21,Trailing Annual Dividend Yield 3,2.46%
22,5 Year Average Dividend Yield 4,2.50
23,Payout Ratio 4,50.17%
24,Dividend Date 3,"Jun 22, 2020"
25,Ex-Dividend Date 4,"Jun 03, 2020"
26,Last Split Factor 2,1:1
27,Last Split Date 3,"Jun 04, 2007"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,28.38%
31,Operating Margin (ttm),34.05%
32,Return on Assets (ttm),2.02%
33,Return on Equity (ttm),12.24%
34,Revenue (ttm),14.9B
35,Revenue Per Share (ttm),95.99
36,Quarterly Revenue Growth (yoy),10.90%
37,Gross Profit (ttm),7.41B
38,EBITDA,5.5B
39,Net Income Avi to Common (ttm),4.23B
40,Diluted EPS (ttm),26.98
41,Quarterly Earnings Growth (yoy),-23.50%
42,Total Cash (mrq),7.38B
43,Total Cash Per Share (mrq),47.61
44,Total Debt (mrq),6.92B
45,Total Debt/Equity (mrq),20.04
46,Current Ratio (mrq),1.53
47,Book Value Per Share (mrq),212.87
48,Operating Cash Flow (ttm),2.17B
49,Levered Free Cash Flow (ttm),3.19B
