,Attribute,Value
0,Beta (5Y Monthly),1.28
1,52-Week Change 3,-9.06%
2,S&P500 52-Week Change 3,5.66%
3,52 Week High 3,134.36
4,52 Week Low 3,69.77
5,50-Day Moving Average 3,105.66
6,200-Day Moving Average 3,104.73
7,Avg Vol (3 month) 3,1.73M
8,Avg Vol (10 day) 3,1.34M
9,Shares Outstanding 5,235.92M
10,Float,235.47M
11,% Held by Insiders 1,0.42%
12,% Held by Institutions 1,78.90%
13,"Shares Short (Jun 14, 2020) 4",3.1M
14,"Short Ratio (Jun 14, 2020) 4",1.56
15,"Short % of Float (Jun 14, 2020) 4",1.32%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.32%
17,"Shares Short (prior month May 14, 2020) 4",2.52M
18,Forward Annual Dividend Rate 4,2.04
19,Forward Annual Dividend Yield 4,1.94%
20,Trailing Annual Dividend Rate 3,2.01
21,Trailing Annual Dividend Yield 3,1.91%
22,5 Year Average Dividend Yield 4,1.60
23,Payout Ratio 4,40.77%
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 14, 2015"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.88%
31,Operating Margin (ttm),11.91%
32,Return on Assets (ttm),6.26%
33,Return on Equity (ttm),24.37%
34,Revenue (ttm),14.9B
35,Revenue Per Share (ttm),62.90
36,Quarterly Revenue Growth (yoy),-6.80%
37,Gross Profit (ttm),6.53B
38,EBITDA,2.3B
39,Net Income Avi to Common (ttm),1.17B
40,Diluted EPS (ttm),4.93
41,Quarterly Earnings Growth (yoy),-22.10%
42,Total Cash (mrq),1.94B
43,Total Cash Per Share (mrq),8.23
44,Total Debt (mrq),7B
45,Total Debt/Equity (mrq),144.72
46,Current Ratio (mrq),1.36
47,Book Value Per Share (mrq),20.02
48,Operating Cash Flow (ttm),1.99B
49,Levered Free Cash Flow (ttm),1.43B
