index,symbol,name,yield,payout,operating,levered
0,dhr,Danaher Corp,0.39%,19.06%,4.07B,2.91B
1,ir,Ingersoll Rand Inc.,N/A,0.00%,342.9M,-209.99M
2,tel,TE Connectivity Ltd.,2.43%,88.89%,2.46B,1.37B
3,bk,The Bank of New York Mellon Corp,3.34%,26.19%,-640M,N/A
4,key,KeyCorp,6.71%,53.70%,2.17B,N/A
5,cci,Crown Castle Intl Corp,2.80%,262.71%,2.84B,423.62M
6,ecl,Ecolab Inc,0.95%,35.16%,2.41B,1.76B
7,amat,Applied Materials Inc,1.39%,26.75%,3.24B,2.36B
8,v,Visa Inc A,0.62%,19.78%,12.77B,9.7B
9,rcl,Royal Caribbean Cruises Ltd,6.62%,357.65%,2.84B,-1.45B
10,tmo,Thermo Fisher Scientific,0.23%,8.66%,4.68B,3.2B
11,vtr,Ventas Inc,5.24%,150.95%,1.42B,1.29B
12,chd,Church & Dwight Co,1.17%,34.68%,963.1M,729.2M
13,ctsh,Cognizant Tech Solutions Corp,1.58%,25.71%,2.73B,2.43B
14,expe,"Expedia Group, Inc.",N/A,N/A,-166M,-1.47B
15,bkng,Booking Holdings Inc,N/A,0.00%,4.34B,2.97B
16,nlsn,Nielsen Holdings plc,1.67%,N/A,1.1B,527.62M
17,ppg,PPG Industries Inc,1.94%,40.77%,1.99B,1.43B
18,slb,Schlumberger Ltd,2.92%,N/A,5.89B,3.75B
19,agn,Allergan plc,N/A,N/A,N/A,N/A
20,intc,Intel Corp,2.26%,24.76%,34.34B,13.24B
21,ffiv,F5 Networks Inc,N/A,0.00%,682.25M,478.47M
22,ea,Electronic Arts,N/A,0.00%,1.8B,1.12B
23,rok,Rockwell Automation Inc,1.93%,65.25%,1.27B,833M
24,gps,Gap Inc,N/A,N/A,442M,152M
25,schw,Charles Schwab Corp,2.13%,26.95%,22.04B,N/A
26,cah,Cardinal Health Inc,3.98%,N/A,2.23B,1.83B
27,abmd,Abiomed Inc,N/A,0.00%,314.92M,186.58M
28,anet,Arista Networks Inc,N/A,0.00%,987.78M,702.78M
29,lvs,Las Vegas Sands,N/A,112.78%,1.85B,1.02B
30,pxd,Pioneer Natural Resources,2.40%,34.21%,3.34B,-317.25M
31,cdw,CDW Corp,1.35%,26.32%,997.8M,768.09M
32,stx,Seagate Technology,5.56%,38.55%,1.77B,809.88M
33,de,Deere & Co,1.93%,34.51%,5.68B,-121.2M
34,pwr,Quanta Services Inc,0.54%,8.29%,836.85M,782.51M
35,unm,Unum Group,7.36%,23.62%,1.44B,771.88M
36,mhk,Mohawk Industries Inc,N/A,0.00%,1.44B,944.42M
37,sbac,SBA Communications Corp,0.61%,N/A,1.03B,741.22M
38,amgn,Amgen Inc,2.54%,46.59%,9.44B,6.45B
39,wmt,Walmart Inc.,1.69%,50.76%,28.71B,17.76B
40,dri,Darden Restaurants Inc,N/A,N/A,711.3M,305.6M
41,pg,Procter & Gamble,2.58%,162.15%,16.75B,11.33B
42,aep,American Electric Power,3.41%,73.66%,4.08B,-2.18B
43,xrx,Xerox Holdings Corp,6.84%,41.49%,1.28B,1.13B
44,efx,Equifax Inc,0.96%,70.27%,313.6M,-48.74M
45,omc,Omnicom Group,5.03%,42.76%,1.26B,1.16B
