,Attribute,Value
0,Beta (5Y Monthly),1.28
1,52-Week Change 3,-22.46%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,161.79
4,52 Week Low 3,79.41
5,50-Day Moving Average 3,110.09
6,200-Day Moving Average 3,124.64
7,Avg Vol (3 month) 3,3.26M
8,Avg Vol (10 day) 3,2.99M
9,Shares Outstanding 5,424.26M
10,Float,421.36M
11,% Held by Insiders 1,0.23%
12,% Held by Institutions 1,84.49%
13,"Shares Short (Jun 14, 2020) 4",5.59M
14,"Short Ratio (Jun 14, 2020) 4",1.62
15,"Short % of Float (Jun 14, 2020) 4",1.32%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.32%
17,"Shares Short (prior month May 14, 2020) 4",6.46M
18,Forward Annual Dividend Rate 4,4.6
19,Forward Annual Dividend Yield 4,4.32%
20,Trailing Annual Dividend Rate 3,4.40
21,Trailing Annual Dividend Yield 3,4.13%
22,5 Year Average Dividend Yield 4,2.41
23,Payout Ratio 4,41.01%
24,Dividend Date 3,"May 04, 2020"
25,Ex-Dividend Date 4,"Apr 14, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Nov 15, 1992"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,30.29%
31,Operating Margin (ttm),36.36%
32,Return on Assets (ttm),1.21%
33,Return on Equity (ttm),10.35%
34,Revenue (ttm),16.56B
35,Revenue Per Share (ttm),37.59
36,Quarterly Revenue Growth (yoy),-12.10%
37,Gross Profit (ttm),17.05B
38,EBITDA,
39,Net Income Avi to Common (ttm),4.76B
40,Diluted EPS (ttm),10.75
41,Quarterly Earnings Growth (yoy),-28.00%
42,Total Cash (mrq),17.22B
43,Total Cash Per Share (mrq),40.58
44,Total Debt (mrq),74.88B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),
47,Book Value Per Share (mrq),106.77
48,Operating Cash Flow (ttm),5.27B
49,Levered Free Cash Flow (ttm),
