,Attribute,Value
0,Beta (5Y Monthly),1.01
1,52-Week Change 3,-0.71%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,231.36
4,52 Week Low 3,124.60
5,50-Day Moving Average 3,205.71
6,200-Day Moving Average 3,190.45
7,Avg Vol (3 month) 3,4.23M
8,Avg Vol (10 day) 3,1.47M
9,Shares Outstanding 5,284.25M
10,Float,287.51M
11,% Held by Insiders 1,0.51%
12,% Held by Institutions 1,87.90%
13,"Shares Short (Jun 14, 2020) 4",14.55M
14,"Short Ratio (Jun 14, 2020) 4",1.49
15,"Short % of Float (Jun 14, 2020) 4",5.87%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",5.12%
17,"Shares Short (prior month May 14, 2020) 4",3.68M
18,Forward Annual Dividend Rate 4,1.88
19,Forward Annual Dividend Yield 4,0.96%
20,Trailing Annual Dividend Rate 3,1.86
21,Trailing Annual Dividend Yield 3,0.95%
22,5 Year Average Dividend Yield 4,1.09
23,Payout Ratio 4,35.16%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 14, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jun 08, 2003"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.32%
31,Operating Margin (ttm),15.95%
32,Return on Assets (ttm),6.90%
33,Return on Equity (ttm),18.29%
34,Revenue (ttm),14.98B
35,Revenue Per Share (ttm),51.98
36,Quarterly Revenue Growth (yoy),2.20%
37,Gross Profit (ttm),6.22B
38,EBITDA,3.37B
39,Net Income Avi to Common (ttm),1.55B
40,Diluted EPS (ttm),5.29
41,Quarterly Earnings Growth (yoy),-4.40%
42,Total Cash (mrq),1.66B
43,Total Cash Per Share (mrq),5.75
44,Total Debt (mrq),8.34B
45,Total Debt/Equity (mrq),94.14
46,Current Ratio (mrq),1.51
47,Book Value Per Share (mrq),30.50
48,Operating Cash Flow (ttm),2.41B
49,Levered Free Cash Flow (ttm),1.76B
