,Attribute,Value
0,Beta (5Y Monthly),2.24
1,52-Week Change 3,-4.57%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,13.64
4,52 Week Low 3,4.82
5,50-Day Moving Average 3,9.83
6,200-Day Moving Average 3,10.14
7,Avg Vol (3 month) 3,24.43M
8,Avg Vol (10 day) 3,19.13M
9,Shares Outstanding 5,1.45B
10,Float,1.42B
11,% Held by Insiders 1,0.70%
12,% Held by Institutions 1,75.17%
13,"Shares Short (Jun 14, 2020) 4",46.23M
14,"Short Ratio (Jun 14, 2020) 4",1.94
15,"Short % of Float (Jun 14, 2020) 4",3.58%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",3.18%
17,"Shares Short (prior month May 14, 2020) 4",49.36M
18,Forward Annual Dividend Rate 4,0.2
19,Forward Annual Dividend Yield 4,3.48%
20,Trailing Annual Dividend Rate 3,0.15
21,Trailing Annual Dividend Yield 3,1.35%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,
24,Dividend Date 3,"Feb 02, 2020"
25,Ex-Dividend Date 4,"Jan 13, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Feb 01, 2011"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-5.68%
31,Operating Margin (ttm),-0.52%
32,Return on Assets (ttm),-0.11%
33,Return on Equity (ttm),-4.69%
34,Revenue (ttm),13.41B
35,Revenue Per Share (ttm),9.24
36,Quarterly Revenue Growth (yoy),-26.20%
37,Gross Profit (ttm),2.71B
38,EBITDA,1.56B
39,Net Income Avi to Common (ttm),-766M
40,Diluted EPS (ttm),-0.53
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.72B
43,Total Cash Per Share (mrq),1.18
44,Total Debt (mrq),10.07B
45,Total Debt/Equity (mrq),59.39
46,Current Ratio (mrq),2.34
47,Book Value Per Share (mrq),6.10
48,Operating Cash Flow (ttm),910M
49,Levered Free Cash Flow (ttm),-1.2B
