,Attribute,Value
0,Beta (5Y Monthly),0.96
1,52-Week Change 3,-0.89%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,104.00
4,52 Week Low 3,59.29
5,50-Day Moving Average 3,81.78
6,200-Day Moving Average 3,86.56
7,Avg Vol (3 month) 3,947.5k
8,Avg Vol (10 day) 3,1.08M
9,Shares Outstanding 5,130.1M
10,Float,122.39M
11,% Held by Insiders 1,0.68%
12,% Held by Institutions 1,92.66%
13,"Shares Short (Jun 14, 2020) 4",2.16M
14,"Short Ratio (Jun 14, 2020) 4",2.48
15,"Short % of Float (Jun 14, 2020) 4",1.89%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.66%
17,"Shares Short (prior month May 14, 2020) 4",1.95M
18,Forward Annual Dividend Rate 4,0.76
19,Forward Annual Dividend Yield 4,0.91%
20,Trailing Annual Dividend Rate 3,
21,Trailing Annual Dividend Yield 3,
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,56.00%
24,Dividend Date 3,"Jun 16, 2020"
25,Ex-Dividend Date 4,"May 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 15, 2007"
28,Fiscal Year Ends,"Sep 26, 2019"
29,Most Recent Quarter (mrq),"Mar 26, 2020"
30,Profit Margin,6.23%
31,Operating Margin (ttm),5.94%
32,Return on Assets (ttm),3.80%
33,Return on Equity (ttm),3.49%
34,Revenue (ttm),13.35B
35,Revenue Per Share (ttm),99.48
36,Quarterly Revenue Growth (yoy),10.90%
37,Gross Profit (ttm),2.48B
38,EBITDA,966.65M
39,Net Income Avi to Common (ttm),167.84M
40,Diluted EPS (ttm),
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),1.84B
43,Total Cash Per Share (mrq),14.12
44,Total Debt (mrq),4.05B
45,Total Debt/Equity (mrq),72.11
46,Current Ratio (mrq),1.97
47,Book Value Per Share (mrq),
48,Operating Cash Flow (ttm),-296.24M
49,Levered Free Cash Flow (ttm),675.13M
