,Attribute,Value
0,Beta (5Y Monthly),1.19
1,52-Week Change 3,-3.73%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,141.09
4,52 Week Low 3,76.96
5,50-Day Moving Average 3,112.02
6,200-Day Moving Average 3,118.00
7,Avg Vol (3 month) 3,563.16k
8,Avg Vol (10 day) 3,563.4k
9,Shares Outstanding 5,83.34M
10,Float,82.78M
11,% Held by Insiders 1,0.68%
12,% Held by Institutions 1,92.06%
13,"Shares Short (Jun 14, 2020) 4",882.72k
14,"Short Ratio (Jun 14, 2020) 4",1.58
15,"Short % of Float (Jun 14, 2020) 4",1.21%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.06%
17,"Shares Short (prior month May 14, 2020) 4",838.66k
18,Forward Annual Dividend Rate 4,2.32
19,Forward Annual Dividend Yield 4,2.08%
20,Trailing Annual Dividend Rate 3,2.32
21,Trailing Annual Dividend Yield 3,2.08%
22,5 Year Average Dividend Yield 4,1.96
23,Payout Ratio 4,33.57%
24,Dividend Date 3,"Jun 16, 2020"
25,Ex-Dividend Date 4,"Jun 01, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Dec 22, 1996"
28,Fiscal Year Ends,"Dec 27, 2019"
29,Most Recent Quarter (mrq),"Mar 27, 2020"
30,Profit Margin,8.29%
31,Operating Margin (ttm),11.80%
32,Return on Assets (ttm),8.95%
33,Return on Equity (ttm),54.01%
34,Revenue (ttm),7.05B
35,Revenue Per Share (ttm),84.21
36,Quarterly Revenue Growth (yoy),-1.00%
37,Gross Profit (ttm),1.9B
38,EBITDA,993.3M
39,Net Income Avi to Common (ttm),584.7M
40,Diluted EPS (ttm),6.88
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),771.9M
43,Total Cash Per Share (mrq),9.26
44,Total Debt (mrq),2.82B
45,Total Debt/Equity (mrq),240.35
46,Current Ratio (mrq),1.14
47,Book Value Per Share (mrq),14.08
48,Operating Cash Flow (ttm),715.5M
49,Levered Free Cash Flow (ttm),466.12M
