,Attribute,Value
0,Beta (5Y Monthly),0.74
1,52-Week Change 3,-14.64%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,161.87
4,52 Week Low 3,88.00
5,50-Day Moving Average 3,124.57
6,200-Day Moving Average 3,134.70
7,Avg Vol (3 month) 3,1.8M
8,Avg Vol (10 day) 3,2.53M
9,Shares Outstanding 5,292.53M
10,Float,292M
11,% Held by Insiders 1,0.06%
12,% Held by Institutions 1,87.62%
13,"Shares Short (Jun 14, 2020) 4",5.17M
14,"Short Ratio (Jun 14, 2020) 4",3.11
15,"Short % of Float (Jun 14, 2020) 4",2.01%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.77%
17,"Shares Short (prior month May 14, 2020) 4",5.48M
18,Forward Annual Dividend Rate 4,4.18
19,Forward Annual Dividend Yield 4,3.56%
20,Trailing Annual Dividend Rate 3,3.94
21,Trailing Annual Dividend Yield 3,3.36%
22,5 Year Average Dividend Yield 4,2.85
23,Payout Ratio 4,59.36%
24,Dividend Date 3,"Jul 14, 2020"
25,Ex-Dividend Date 4,"Jun 24, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 27, 1992"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,22.96%
31,Operating Margin (ttm),25.94%
32,Return on Assets (ttm),2.74%
33,Return on Equity (ttm),11.09%
34,Revenue (ttm),10.96B
35,Revenue Per Share (ttm),38.81
36,Quarterly Revenue Growth (yoy),4.50%
37,Gross Profit (ttm),4.2B
38,EBITDA,4.43B
39,Net Income Avi to Common (ttm),1.89B
40,Diluted EPS (ttm),8.28
41,Quarterly Earnings Growth (yoy),66.90%
42,Total Cash (mrq),2.26B
43,Total Cash Per Share (mrq),7.73
44,Total Debt (mrq),28.52B
45,Total Debt/Equity (mrq),128.97
46,Current Ratio (mrq),0.44
47,Book Value Per Share (mrq),61.16
48,Operating Cash Flow (ttm),3.46B
49,Levered Free Cash Flow (ttm),-700.75M
