,Attribute,Value
0,Beta (5Y Monthly),0.44
1,52-Week Change 3,-7.29%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,71.10
4,52 Week Low 3,41.96
5,50-Day Moving Average 3,55.68
6,200-Day Moving Average 3,59.97
7,Avg Vol (3 month) 3,5.53M
8,Avg Vol (10 day) 3,5.99M
9,Shares Outstanding 5,1.06B
10,Float,1.05B
11,% Held by Insiders 1,0.14%
12,% Held by Institutions 1,61.25%
13,"Shares Short (Jun 14, 2020) 4",11.96M
14,"Short Ratio (Jun 14, 2020) 4",2.44
15,"Short % of Float (Jun 14, 2020) 4",1.13%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.13%
17,"Shares Short (prior month May 14, 2020) 4",13.7M
18,Forward Annual Dividend Rate 4,2.56
19,Forward Annual Dividend Yield 4,5.00%
20,Trailing Annual Dividend Rate 3,2.48
21,Trailing Annual Dividend Yield 3,4.84%
22,5 Year Average Dividend Yield 4,4.60
23,Payout Ratio 4,74.70%
24,Dividend Date 3,"Jun 07, 2020"
25,Ex-Dividend Date 4,"May 14, 2020"
26,Last Split Factor 2,10000:6109
27,Last Split Date 3,"Apr 02, 2001"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,16.76%
31,Operating Margin (ttm),27.04%
32,Return on Assets (ttm),3.05%
33,Return on Equity (ttm),11.11%
34,Revenue (ttm),21.02B
35,Revenue Per Share (ttm),20.01
36,Quarterly Revenue Growth (yoy),-7.30%
37,Gross Profit (ttm),9.63B
38,EBITDA,9.11B
39,Net Income Avi to Common (ttm),3.52B
40,Diluted EPS (ttm),3.33
41,Quarterly Earnings Growth (yoy),-58.30%
42,Total Cash (mrq),2.16B
43,Total Cash Per Share (mrq),2.05
44,Total Debt (mrq),49.59B
45,Total Debt/Equity (mrq),153.99
46,Current Ratio (mrq),0.99
47,Book Value Per Share (mrq),26.26
48,Operating Cash Flow (ttm),5.93B
49,Levered Free Cash Flow (ttm),-1.92B
