,Attribute,Value
0,Beta (5Y Monthly),1.67
1,52-Week Change 3,7.91%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,73.28
4,52 Week Low 3,33.90
5,50-Day Moving Average 3,59.98
6,200-Day Moving Average 3,58.82
7,Avg Vol (3 month) 3,1.41M
8,Avg Vol (10 day) 3,1.13M
9,Shares Outstanding 5,137.95M
10,Float,137.1M
11,% Held by Insiders 1,0.60%
12,% Held by Institutions 1,90.24%
13,"Shares Short (Jun 14, 2020) 4",2.23M
14,"Short Ratio (Jun 14, 2020) 4",1.82
15,"Short % of Float (Jun 14, 2020) 4",1.82%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.61%
17,"Shares Short (prior month May 14, 2020) 4",3.27M
18,Forward Annual Dividend Rate 4,0.96
19,Forward Annual Dividend Yield 4,1.56%
20,Trailing Annual Dividend Rate 3,0.90
21,Trailing Annual Dividend Yield 3,1.46%
22,5 Year Average Dividend Yield 4,1.30
23,Payout Ratio 4,27.86%
24,Dividend Date 3,"Jun 16, 2020"
25,Ex-Dividend Date 4,"May 27, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,7.81%
31,Operating Margin (ttm),13.23%
32,Return on Assets (ttm),7.67%
33,Return on Equity (ttm),19.79%
34,Revenue (ttm),5.84B
35,Revenue Per Share (ttm),41.84
36,Quarterly Revenue Growth (yoy),5.60%
37,Gross Profit (ttm),2.07B
38,EBITDA,925.2M
39,Net Income Avi to Common (ttm),456.3M
40,Diluted EPS (ttm),3.23
41,Quarterly Earnings Growth (yoy),28.80%
42,Total Cash (mrq),359.7M
43,Total Cash Per Share (mrq),2.61
44,Total Debt (mrq),2.57B
45,Total Debt/Equity (mrq),108.96
46,Current Ratio (mrq),1.54
47,Book Value Per Share (mrq),17.09
48,Operating Cash Flow (ttm),713.1M
49,Levered Free Cash Flow (ttm),487.02M
