,Attribute,Value
0,Beta (5Y Monthly),1.04
1,52-Week Change 3,10.49%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,306.89
4,52 Week Low 3,187.68
5,50-Day Moving Average 3,286.48
6,200-Day Moving Average 3,270.87
7,Avg Vol (3 month) 3,1.34M
8,Avg Vol (10 day) 3,1.26M
9,Shares Outstanding 5,260.77M
10,Float,251.81M
11,% Held by Insiders 1,3.49%
12,% Held by Institutions 1,89.81%
13,"Shares Short (Jun 14, 2020) 4",2.23M
14,"Short Ratio (Jun 14, 2020) 4",1.65
15,"Short % of Float (Jun 14, 2020) 4",0.88%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.85%
17,"Shares Short (prior month May 14, 2020) 4",2.31M
18,Forward Annual Dividend Rate 4,2.12
19,Forward Annual Dividend Yield 4,0.73%
20,Trailing Annual Dividend Rate 3,2.06
21,Trailing Annual Dividend Yield 3,0.71%
22,5 Year Average Dividend Yield 4,0.90
23,Payout Ratio 4,40.63%
24,Dividend Date 3,"Jul 19, 2020"
25,Ex-Dividend Date 4,"Jul 08, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 06, 2006"
28,Fiscal Year Ends,"Jul 30, 2019"
29,Most Recent Quarter (mrq),"Apr 29, 2020"
30,Profit Margin,19.50%
31,Operating Margin (ttm),22.46%
32,Return on Assets (ttm),13.11%
33,Return on Equity (ttm),30.35%
34,Revenue (ttm),6.86B
35,Revenue Per Share (ttm),26.30
36,Quarterly Revenue Growth (yoy),-8.30%
37,Gross Profit (ttm),5.64B
38,EBITDA,1.74B
39,Net Income Avi to Common (ttm),1.34B
40,Diluted EPS (ttm),5.07
41,Quarterly Earnings Growth (yoy),-21.30%
42,Total Cash (mrq),3.97B
43,Total Cash Per Share (mrq),15.23
44,Total Debt (mrq),663M
45,Total Debt/Equity (mrq),13.99
46,Current Ratio (mrq),1.79
47,Book Value Per Share (mrq),18.18
48,Operating Cash Flow (ttm),2B
49,Levered Free Cash Flow (ttm),1.55B
