,Attribute,Value
0,Beta (5Y Monthly),1.24
1,52-Week Change 3,-45.86%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,28.02
4,52 Week Low 3,8.00
5,50-Day Moving Average 3,14.86
6,200-Day Moving Average 3,16.89
7,Avg Vol (3 month) 3,10.26M
8,Avg Vol (10 day) 3,6.95M
9,Shares Outstanding 5,277.83M
10,Float,191.91M
11,% Held by Insiders 1,17.58%
12,% Held by Institutions 1,81.08%
13,"Shares Short (Jun 14, 2020) 4",20.98M
14,"Short Ratio (Jun 14, 2020) 4",1.93
15,"Short % of Float (Jun 14, 2020) 4",10.69%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",7.55%
17,"Shares Short (prior month May 14, 2020) 4",23.02M
18,Forward Annual Dividend Rate 4,
19,Forward Annual Dividend Yield 4,
20,Trailing Annual Dividend Rate 3,1.20
21,Trailing Annual Dividend Yield 3,8.49%
22,5 Year Average Dividend Yield 4,5.41
23,Payout Ratio 4,
24,Dividend Date 3,"Mar 05, 2020"
25,Ex-Dividend Date 4,"Feb 19, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"May 30, 2000"
28,Fiscal Year Ends,"Jan 31, 2020"
29,Most Recent Quarter (mrq),"May 01, 2020"
30,Profit Margin,-5.89%
31,Operating Margin (ttm),7.26%
32,Return on Assets (ttm),5.30%
33,Return on Equity (ttm),
34,Revenue (ttm),11.94B
35,Revenue Per Share (ttm),43.22
36,Quarterly Revenue Growth (yoy),-37.10%
37,Gross Profit (ttm),5.55B
38,EBITDA,1.45B
39,Net Income Avi to Common (ttm),-703M
40,Diluted EPS (ttm),-2.55
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),957M
43,Total Cash Per Share (mrq),3.44
44,Total Debt (mrq),9.04B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),1.06
47,Book Value Per Share (mrq),-6.69
48,Operating Cash Flow (ttm),967M
49,Levered Free Cash Flow (ttm),441.88M
