,Attribute,Value
0,Beta (5Y Monthly),2.11
1,52-Week Change 3,-60.69%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,53.06
4,52 Week Low 3,12.40
5,50-Day Moving Average 3,20.82
6,200-Day Moving Average 3,29.35
7,Avg Vol (3 month) 3,3.71M
8,Avg Vol (10 day) 3,2.48M
9,Shares Outstanding 5,107.42M
10,Float,103.95M
11,% Held by Insiders 1,3.14%
12,% Held by Institutions 1,95.56%
13,"Shares Short (Jun 14, 2020) 4",6.5M
14,"Short Ratio (Jun 14, 2020) 4",1.48
15,"Short % of Float (Jun 14, 2020) 4",7.05%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",6.05%
17,"Shares Short (prior month May 14, 2020) 4",6.87M
18,Forward Annual Dividend Rate 4,1.92
19,Forward Annual Dividend Yield 4,9.65%
20,Trailing Annual Dividend Rate 3,2.84
21,Trailing Annual Dividend Yield 3,14.27%
22,5 Year Average Dividend Yield 4,5.55
23,Payout Ratio 4,
24,Dividend Date 3,"Aug 30, 2020"
25,Ex-Dividend Date 4,"May 07, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Jul 09, 2006"
28,Fiscal Year Ends,"Sep 29, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,-19.47%
31,Operating Margin (ttm),5.58%
32,Return on Assets (ttm),1.59%
33,Return on Equity (ttm),-12.92%
34,Revenue (ttm),2.59B
35,Revenue Per Share (ttm),23.75
36,Quarterly Revenue Growth (yoy),-12.10%
37,Gross Profit (ttm),989.9M
38,EBITDA,674.67M
39,Net Income Avi to Common (ttm),-506.01M
40,Diluted EPS (ttm),-4.66
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),381.74M
43,Total Cash Per Share (mrq),3.55
44,Total Debt (mrq),528.54M
45,Total Debt/Equity (mrq),15.27
46,Current Ratio (mrq),2.97
47,Book Value Per Share (mrq),32.22
48,Operating Cash Flow (ttm),679.37M
49,Levered Free Cash Flow (ttm),451.8M
