,Attribute,Value
0,Beta (5Y Monthly),1.14
1,52-Week Change 3,-12.30%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,71.48
4,52 Week Low 3,40.01
5,50-Day Moving Average 3,54.30
6,200-Day Moving Average 3,57.26
7,Avg Vol (3 month) 3,3.97M
8,Avg Vol (10 day) 3,3.35M
9,Shares Outstanding 5,540.58M
10,Float,538.67M
11,% Held by Insiders 1,0.24%
12,% Held by Institutions 1,95.10%
13,"Shares Short (Jun 14, 2020) 4",12.02M
14,"Short Ratio (Jun 14, 2020) 4",3.56
15,"Short % of Float (Jun 14, 2020) 4",2.23%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.22%
17,"Shares Short (prior month May 14, 2020) 4",10.86M
18,Forward Annual Dividend Rate 4,0.88
19,Forward Annual Dividend Yield 4,1.58%
20,Trailing Annual Dividend Rate 3,0.82
21,Trailing Annual Dividend Yield 3,1.48%
22,5 Year Average Dividend Yield 4,
23,Payout Ratio 4,25.71%
24,Dividend Date 3,"May 28, 2020"
25,Ex-Dividend Date 4,"May 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Mar 09, 2014"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,10.46%
31,Operating Margin (ttm),17.08%
32,Return on Assets (ttm),10.76%
33,Return on Equity (ttm),16.26%
34,Revenue (ttm),16.9B
35,Revenue Per Share (ttm),30.60
36,Quarterly Revenue Growth (yoy),2.80%
37,Gross Profit (ttm),6.15B
38,EBITDA,3.39B
39,Net Income Avi to Common (ttm),1.77B
40,Diluted EPS (ttm),3.19
41,Quarterly Earnings Growth (yoy),-16.80%
42,Total Cash (mrq),4.28B
43,Total Cash Per Share (mrq),7.92
44,Total Debt (mrq),3.4B
45,Total Debt/Equity (mrq),32.03
46,Current Ratio (mrq),2.90
47,Book Value Per Share (mrq),19.62
48,Operating Cash Flow (ttm),2.73B
49,Levered Free Cash Flow (ttm),2.43B
