,Attribute,Value
0,Beta (5Y Monthly),0.56
1,52-Week Change 3,-23.10%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,64.50
4,52 Week Low 3,36.65
5,50-Day Moving Average 3,42.00
6,200-Day Moving Average 3,48.03
7,Avg Vol (3 month) 3,6.9M
8,Avg Vol (10 day) 3,6.32M
9,Shares Outstanding 5,885.86M
10,Float,728.22M
11,% Held by Insiders 1,22.25%
12,% Held by Institutions 1,60.61%
13,"Shares Short (Jun 14, 2020) 4",18.29M
14,"Short Ratio (Jun 14, 2020) 4",2.79
15,"Short % of Float (Jun 14, 2020) 4",2.51%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.08%
17,"Shares Short (prior month May 14, 2020) 4",20.86M
18,Forward Annual Dividend Rate 4,1.83
19,Forward Annual Dividend Yield 4,4.35%
20,Trailing Annual Dividend Rate 3,1.81
21,Trailing Annual Dividend Yield 3,4.31%
22,5 Year Average Dividend Yield 4,2.33
23,Payout Ratio 4,46.47%
24,Dividend Date 3,"Jun 11, 2020"
25,Ex-Dividend Date 4,"May 18, 2020"
26,Last Split Factor 2,2:1
27,Last Split Date 3,"Feb 15, 1999"
28,Fiscal Year Ends,"Aug 30, 2019"
29,Most Recent Quarter (mrq),"Feb 28, 2020"
30,Profit Margin,2.52%
31,Operating Margin (ttm),2.98%
32,Return on Assets (ttm),3.22%
33,Return on Equity (ttm),14.14%
34,Revenue (ttm),138.7B
35,Revenue Per Share (ttm),154.75
36,Quarterly Revenue Growth (yoy),3.70%
37,Gross Profit (ttm),30.08B
38,EBITDA,5.88B
39,Net Income Avi to Common (ttm),3.49B
40,Diluted EPS (ttm),3.89
41,Quarterly Earnings Growth (yoy),-18.20%
42,Total Cash (mrq),793M
43,Total Cash Per Share (mrq),0.9
44,Total Debt (mrq),41.93B
45,Total Debt/Equity (mrq),172.29
46,Current Ratio (mrq),0.66
47,Book Value Per Share (mrq),26.94
48,Operating Cash Flow (ttm),6.88B
49,Levered Free Cash Flow (ttm),4.02B
