,Attribute,Value
0,Beta (5Y Monthly),1.87
1,52-Week Change 3,-32.90%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,92.98
4,52 Week Low 3,23.25
5,50-Day Moving Average 3,48.88
6,200-Day Moving Average 3,58.69
7,Avg Vol (3 month) 3,5.78M
8,Avg Vol (10 day) 3,5.11M
9,Shares Outstanding 5,306.3M
10,Float,304.3M
11,% Held by Insiders 1,0.52%
12,% Held by Institutions 1,86.16%
13,"Shares Short (Jun 14, 2020) 4",8.37M
14,"Short Ratio (Jun 14, 2020) 4",1.37
15,"Short % of Float (Jun 14, 2020) 4",2.74%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",2.73%
17,"Shares Short (prior month May 14, 2020) 4",8.81M
18,Forward Annual Dividend Rate 4,1.76
19,Forward Annual Dividend Yield 4,3.38%
20,Trailing Annual Dividend Rate 3,1.72
21,Trailing Annual Dividend Yield 3,3.30%
22,5 Year Average Dividend Yield 4,2.09
23,Payout Ratio 4,25.75%
24,Dividend Date 3,"Jun 03, 2020"
25,Ex-Dividend Date 4,"May 19, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,29.50%
31,Operating Margin (ttm),39.74%
32,Return on Assets (ttm),1.94%
33,Return on Equity (ttm),20.74%
34,Revenue (ttm),7.35B
35,Revenue Per Share (ttm),23.35
36,Quarterly Revenue Growth (yoy),-44.70%
37,Gross Profit (ttm),7.82B
38,EBITDA,
39,Net Income Avi to Common (ttm),2.12B
40,Diluted EPS (ttm),6.74
41,Quarterly Earnings Growth (yoy),
42,Total Cash (mrq),10.03B
43,Total Cash Per Share (mrq),32.74
44,Total Debt (mrq),26.11B
45,Total Debt/Equity (mrq),270.13
46,Current Ratio (mrq),1.21
47,Book Value Per Share (mrq),29.72
48,Operating Cash Flow (ttm),5.54B
49,Levered Free Cash Flow (ttm),
