,Attribute,Value
0,Beta (5Y Monthly),0.69
1,52-Week Change 3,-25.39%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,44.56
4,52 Week Low 3,27.88
5,50-Day Moving Average 3,35.85
6,200-Day Moving Average 3,36.29
7,Avg Vol (3 month) 3,27.7M
8,Avg Vol (10 day) 3,33.04M
9,Shares Outstanding 5,5.55B
10,Float,5.55B
11,% Held by Insiders 1,0.04%
12,% Held by Institutions 1,72.56%
13,"Shares Short (Jun 14, 2020) 4",53.75M
14,"Short Ratio (Jun 14, 2020) 4",1.75
15,"Short % of Float (Jun 14, 2020) 4",0.97%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",0.97%
17,"Shares Short (prior month May 14, 2020) 4",52.59M
18,Forward Annual Dividend Rate 4,1.52
19,Forward Annual Dividend Yield 4,4.70%
20,Trailing Annual Dividend Rate 3,1.46
21,Trailing Annual Dividend Yield 3,4.52%
22,5 Year Average Dividend Yield 4,3.54
23,Payout Ratio 4,52.14%
24,Dividend Date 3,"Jun 04, 2020"
25,Ex-Dividend Date 4,"May 06, 2020"
26,Last Split Factor 2,3:1
27,Last Split Date 3,"Jun 30, 1999"
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 28, 2020"
30,Profit Margin,31.17%
31,Operating Margin (ttm),29.36%
32,Return on Assets (ttm),5.78%
33,Return on Equity (ttm),25.41%
34,Revenue (ttm),50.66B
35,Revenue Per Share (ttm),9.13
36,Quarterly Revenue Growth (yoy),-8.30%
37,Gross Profit (ttm),41.74B
38,EBITDA,20.53B
39,Net Income Avi to Common (ttm),15.78B
40,Diluted EPS (ttm),2.80
41,Quarterly Earnings Growth (yoy),-12.40%
42,Total Cash (mrq),10.36B
43,Total Cash Per Share (mrq),1.87
44,Total Debt (mrq),52.29B
45,Total Debt/Equity (mrq),80.03
46,Current Ratio (mrq),1.02
47,Book Value Per Share (mrq),11.71
48,Operating Cash Flow (ttm),14.02B
49,Levered Free Cash Flow (ttm),19.44B
