,Attribute,Value
0,Beta (5Y Monthly),0.94
1,52-Week Change 3,43.29%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,356.66
4,52 Week Low 3,206.82
5,50-Day Moving Average 3,330.86
6,200-Day Moving Average 3,297.81
7,Avg Vol (3 month) 3,625.93k
8,Avg Vol (10 day) 3,490.14k
9,Shares Outstanding 5,83.6M
10,Float,80.97M
11,% Held by Insiders 1,3.18%
12,% Held by Institutions 1,95.44%
13,"Shares Short (Jun 14, 2020) 4",883.04k
14,"Short Ratio (Jun 14, 2020) 4",1.37
15,"Short % of Float (Jun 14, 2020) 4",1.23%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.06%
17,"Shares Short (prior month May 14, 2020) 4",1.21M
18,Forward Annual Dividend Rate 4,2.72
19,Forward Annual Dividend Yield 4,0.79%
20,Trailing Annual Dividend Rate 3,2.62
21,Trailing Annual Dividend Yield 3,0.77%
22,5 Year Average Dividend Yield 4,1.05
23,Payout Ratio 4,41.99%
24,Dividend Date 3,"May 28, 2020"
25,Ex-Dividend Date 4,"May 13, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,33.28%
31,Operating Margin (ttm),49.96%
32,Return on Assets (ttm),13.89%
33,Return on Equity (ttm),
34,Revenue (ttm),1.6B
35,Revenue Per Share (ttm),18.91
36,Quarterly Revenue Growth (yoy),12.20%
37,Gross Profit (ttm),1.27B
38,EBITDA,865.52M
39,Net Income Avi to Common (ttm),533.58M
40,Diluted EPS (ttm),6.24
41,Quarterly Earnings Growth (yoy),-16.90%
42,Total Cash (mrq),1.07B
43,Total Cash Per Share (mrq),12.76
44,Total Debt (mrq),3.35B
45,Total Debt/Equity (mrq),
46,Current Ratio (mrq),2.03
47,Book Value Per Share (mrq),-4.23
48,Operating Cash Flow (ttm),734.42M
49,Levered Free Cash Flow (ttm),544.45M
