,Attribute,Value
0,Beta (5Y Monthly),0.75
1,52-Week Change 3,23.42%
2,S&P500 52-Week Change 3,4.83%
3,52 Week High 3,122.15
4,52 Week Low 3,71.66
5,50-Day Moving Average 3,115.73
6,200-Day Moving Average 3,108.45
7,Avg Vol (3 month) 3,872.2k
8,Avg Vol (10 day) 3,687.59k
9,Shares Outstanding 5,164.07M
10,Float,114.09M
11,% Held by Insiders 1,18.68%
12,% Held by Institutions 1,79.35%
13,"Shares Short (Jun 14, 2020) 4",2.87M
14,"Short Ratio (Jun 14, 2020) 4",3.6
15,"Short % of Float (Jun 14, 2020) 4",2.51%
16,"Short % of Shares Outstanding (Jun 14, 2020) 4",1.75%
17,"Shares Short (prior month May 14, 2020) 4",2.89M
18,Forward Annual Dividend Rate 4,1.96
19,Forward Annual Dividend Yield 4,1.65%
20,Trailing Annual Dividend Rate 3,1.88
21,Trailing Annual Dividend Yield 3,1.58%
22,5 Year Average Dividend Yield 4,1.73
23,Payout Ratio 4,43.02%
24,Dividend Date 3,"Jun 25, 2020"
25,Ex-Dividend Date 4,"Jun 10, 2020"
26,Last Split Factor 2,
27,Last Split Date 3,
28,Fiscal Year Ends,"Dec 30, 2019"
29,Most Recent Quarter (mrq),"Mar 30, 2020"
30,Profit Margin,15.95%
31,Operating Margin (ttm),25.07%
32,Return on Assets (ttm),4.89%
33,Return on Equity (ttm),13.40%
34,Revenue (ttm),4.58B
35,Revenue Per Share (ttm),27.76
36,Quarterly Revenue Growth (yoy),30.20%
37,Gross Profit (ttm),2.54B
38,EBITDA,1.34B
39,Net Income Avi to Common (ttm),730M
40,Diluted EPS (ttm),4.37
41,Quarterly Earnings Growth (yoy),-17.80%
42,Total Cash (mrq),1.11B
43,Total Cash Per Share (mrq),6.76
44,Total Debt (mrq),4.48B
45,Total Debt/Equity (mrq),82.92
46,Current Ratio (mrq),0.97
47,Book Value Per Share (mrq),32.83
48,Operating Cash Flow (ttm),1.01B
49,Levered Free Cash Flow (ttm),765.25M
